식당이름,구분,평점,주소,영업시간,전화번호,리뷰수
팔레드 신, 정통 중식 / 일반 중식,4.7,서울시 중구 회현동1가 210 6F,07:00 - 23:00,02-317-4001,73
나인스게이트, 스테이크 / 바베큐,4.7,서울시 중구 소공동 87-1 서울 웨스틴조선호텔 LF,월-금: 07:00 - 22:00 토-일: 10:30 - 22:00,02-317-0366,41
패스트리부티크, 베이커리,4.7,서울시 중구 장충동2가 202 서울신라호텔 1F,07:00 - 22:00,02-2230-3377,85
더파크뷰, 뷔페,4.6,서울시 중구 장충동2가 202 서울신라호텔 1F,월-금: 12:00 - 21:30 토-일: 11:30 - 21:30,02-2230-3374,149
아리아께, 정통 일식 / 일반 일식,4.6,서울시 중구 장충동2가 202 서울신라호텔 2F,12:00 - 21:30,02-2230-3356,43
유즈라멘, 라멘 / 소바 / 우동,4.6,서울시 중구 만리동1가 53-8,11:00 - 21:30,070-4177-0365,126
광화문국밥, 탕 / 찌개 / 전골,4.6,서울시 중구 정동 1-48,월-금: 11:30 - 22:00 토: 11:30 - 21:00,02-738-5688,103
무학, 고기 요리,4.6,서울시 중구 신당동 472,화-금: 15:00 - 21:50 토-일: 13:00 - 21:50,02-3298-6982,17
더라이브러리, 카페 / 디저트,4.5,서울시 중구 장충동2가 202 서울신라호텔 1F,08:00 - 01:00,02-2230-3388,124
무명스키야키, 기타 일식,4.5,서울시 중구 황학동 656 1F,17:00 - 23:00,010-9276-6168,31
청화집, 탕 / 찌개 / 전골,4.5,충청남도 천안시 동남구 병천면 병천리 167-6,08:30 - 19:00,041-564-1558,34
벱비엣, 베트남 음식,4.5,서울시 중구 저동2가 75,10:00 - 22:00,02-2285-3996,27
우래옥, 국수 / 면 요리,4.4,서울시 중구 주교동 118-1,11:30 - 21:30,02-2265-0151,365
듁스커피, 카페 / 디저트,4.6,서울시 마포구 당인동 24-11,월-금: 09:00 - 18:00 토-일: 11:00 - 19:00,02-323-2007,123
첸토페르첸토, 이탈리안,4.5,서울시 마포구 서교동 382-14 1F,12:00 - 21:30,02-334-8622,80
라무라, 라멘 / 소바 / 우동,4.5,서울시 마포구 합정동 395-16 1F,11:00 - 20:30,070-8836-8490,62
카카오다다, 카페 / 디저트,4.5,서울시 마포구 망원동 496,11:00 - 20:00,02-3446-7007,41
이요이요스시, 회 / 스시,4.4,서울시 마포구 공덕동 469 래미안5차상가  106호,12:00 - 21:30,02-306-0372,80
우마담, 고기 요리,4.4,서울시 마포구 서교동 396-46 2F,17:00 - 23:00,02-6348-0518,26
망원동즉석우동, 라멘 / 소바 / 우동,4.4,서울시 마포구 망원동 386-4,월: 17:00 - 04:00 화-토: 10:30 - 05:00 일: 12:00 - 22:00,02-336-1330,83
Osteria Ora, 이탈리안,4.4,서울시 마포구 서교동 468-17 1F,12:00 - 23:00,010-9163-0415,27
기노, 이자카야 / 오뎅 / 꼬치,4.4,서울시 마포구 도화동 204-1,월-목: 18:00 - 24:00 금-토: 18:00 - 01:00,02-6489-0053,29
홈프롬귀, 다국적 퓨전,4.4,서울시 마포구 상수동 327-1,18:30 - 02:00,010-2323-5938,25
야키토리나루토, 정통 일식 / 일반 일식,4.4,서울시 마포구 서교동 403-23,월-금: 16:00 - 21:00 토-일: 15:00 - 21:00,02-332-6835,6
옥동식, 탕 / 찌개 / 전골,4.3,서울시 마포구 서교동 385-6,월-금: 11:00 - 22:00 토-일: 11:00 - 20:30,010-5571-9915,197
복덕방, 고기 요리,4.3,서울시 마포구 망원동 414-14 1F,화-금: 18:00 - 02:00 토: 17:00 - 02:00,070-8864-1414,93
카페비하인드, 카페 / 디저트,4.3,서울시 마포구 서교동 404-26 팜파스빌딩,월-토: 11:00 - 23:00 일: 11:00 - 22:00,02-3141-7212,102
원조 조박집, 고기 요리,4.3,서울시 마포구 용강동 40-1,11:30 - 23:00,02-712-7462,90
미자카야, 이자카야 / 오뎅 / 꼬치,4.3,서울시 마포구 망원동 414-14 1F,월-금: 18:00 - 02:00 토: 18:00 - 01:00,010-4800-7637,66
김광석 신촌칼국수, 탕 / 찌개 / 전골,4.3,서울시 마포구 노고산동 40-9,10:00 - 22:00,02-717-0592,98
마리오파스타, 이탈리안,4.3,서울시 마포구 망원동 57-138 1F,12:00 - 21:30,02-3144-2008,51
조용한저녁, 패밀리 레스토랑,4.3,서울시 마포구 창전동 2-31,수-금: 16:00 - 22:00 토-일: 13:00 - 22:00,0507-1431-4540,36
아꽁뜨, 카페 / 디저트,4.3,서울시 마포구 연남동 225-50 1F,12:00 - 20:00,070-4788-6871,19
Quench Coffee, 카페 / 디저트,4.3,서울시 마포구 서교동 480-12 1F,목,,42
강화통통생고기, 고기 요리,4.3,서울시 마포구 서교동 444-2,17:00 - 05:00,02-322-1838,34
덕이손만두, 국수 / 면 요리,4.3,서울시 마포구 합정동 393-13,11:30 - 21:30,02-363-7008,23
후엘고, 카페 / 디저트,4.3,서울시 마포구 염리동 128-7,월-금: 11:00 - 21:00 토-일: 11:00 - 20:00,02-712-9265,17
웨스트사이드, 이탈리안,4.3,서울시 마포구 망원동 409-11,12:00 - 22:00,010-6567-4689,13
홍어한마리, 해산물 요리,4.3,서울시 마포구 서교동 480-9,월-금: 12:00 - 22:00 토: 17:00 - 22:00,02-323-1011,9
피크닉마나올라나, 브런치 / 버거 / 샌드위치,4.3,서울시 마포구 연남동 240-29,10:00 - 21:00,010-7262-1532,9
스트라다로스터스, 카페 / 디저트,4.2,서울시 마포구 합정동 473 마포한강푸르지오2차 230호,월-금: 08:00 - 21:00 토-일: 09:00 - 22:00,02-336-0146,74
미에우, 베트남 음식,4.2,서울시 마포구 합정동 396-14,11:30 - 22:00,0507-1321-2155,26
별버거, 브런치 / 버거 / 샌드위치,4.2,서울시 마포구 상수동 317-8,11:30 - 20:00,02-6013-3500,52
온돈부리, 돈부리 / 일본 카레 / 벤토,4.2,서울시 마포구 상암동 1596 상암 푸르지오시티 2F,11:20 - 21:30,02-303-0626,43
고타이, 태국 음식,4.2,서울시 마포구 망원동 400-19,월-금: 11:30 - 22:00 토: 13:00 - 22:00,02-3141-5822,30
과자산책, 카페 / 디저트,4.2,서울시 마포구 망원동 401-36 2F,12:00 - 20:00,0507-1341-5415,17
코코부코, 카페 / 디저트,4.2,서울시 마포구 망원동 396-29,10:30 - 21:00,070-8810-9449,36
마띠아바자르, 칵테일 / 와인,4.2,서울시 마포구 도화동 184-10 B1,18:00 - 02:00,02-702-0013,13
천지양꼬치, 기타 중식,4.2,서울시 마포구 망원동 401-34,17:00 - 04:00,02-322-1020,35
라오, 태국 음식,4.2,서울시 마포구 서교동 459-7 1F,월-금: 11:00 - 21:00 토: 12:30 - 20:00,070-4148-2108,15
파롤앤랑그, 카페 / 디저트,4.2,서울시 마포구 연남동 240-32,13:00 - 21:00,0507-1435-2528,8
쿠리노키제빵, 베이커리,4.2,서울시 마포구 서교동 480-27 1F,,02-336-9201,6
히메시야, 회 / 스시,4.1,서울시 마포구 상수동 313-1,11:30 - 21:30,070-8245-4562,195
비전스트롤, 카페 / 디저트,4.1,서울시 마포구 망원동 422-32,12:00 - 21:00,0507-1423-8510,66
딥블루레이크커피, 카페 / 디저트,4.1,서울시 마포구 망원동 411-12,화-토: 11:00 - 22:00 일: 11:00 - 18:00,02-323-8532,68
오늘의 위로, 카페 / 디저트,4.1,서울시 마포구 망원동 467-18,13:00 - 19:00,02-322-5203,40
수지앤파스타, 기타 양식,4.1,서울시 마포구 상수동 313-1,11:30 - 22:00,02-6397-8780,55
호계식, 닭 / 오리 요리,4.1,서울시 마포구 합정동 433-1,12:00 - 21:00,02-6084-9996,50
대한각, 정통 중식 / 일반 중식,4.1,서울시 마포구 합정동 473 딜라이트스퀘어 226호,화-금: 11:30 - 22:00 토-일: 11:30 - 21:00,02-798-0266,31
마포리1987, 퓨전 양식,4.1,서울시 마포구 대흥동 403,11:30 - 23:00,02-6402-8975,24
양송이식당, 퓨전 한식,4.1,서울시 마포구 신수동 404-2 1F,12:00 - 22:00,010-9189-2005,15
요요스시, 회 / 스시,4.1,서울시 마포구 서교동 394-57,11:30 - 22:00,02-333-1944,38
서울브루어리, 치킨 / 호프 / 펍,4.1,서울시 마포구 합정동 368-10,월-목: 18:00 - 24:00 금: 18:00 - 00:30 토-일: 13:00 - 00:30,070-7756-0915,21
뫼촌, 닭 / 오리 요리,4.1,서울시 마포구 도화동 184-10,11:00 - 22:00,02-711-9966,27
퓨전선술집, 이자카야 / 오뎅 / 꼬치,4.1,서울시 마포구 합정동 383-9,18:30 - 01:00,02-335-4764,19
퍼블리크, 카페 / 디저트,4.1,서울시 마포구 구수동 70-3,09:00 - 21:30,02-702-6919,28
명품잔치국수, 국수 / 면 요리,4.1,서울시 마포구 서교동 479-8,10:00 - 22:00,02-336-2004,21
오우야 에스프레소바, 카페 / 디저트,4.1,서울시 마포구 합정동 370-25 엠슨빌딩 1F,10:00 - 20:00,02-2088-2101,11
쿠시무라, 이자카야 / 오뎅 / 꼬치,4.1,서울시 마포구 상수동 341-5,19:00 - 04:00,02-333-2650,22
크레이지파이, 카페 / 디저트,4.1,서울시 마포구 합정동 434-40 102호,11:30 - 20:30,02-3144-4816,12
비앤비, 칵테일 / 와인,4.1,서울시 마포구 합정동 412-29 B1,18:00 - 04:00,02-722-1254,22
상수동카스티야, 베이커리,4.1,서울시 마포구 상수동 310-11,11:00 - 19:00,010-4659-2999,18
맨션나인, 이탈리안,4.1,서울시 마포구 상수동 331-17,12:00 - 23:00,070-4110-2920,6
갓잇, 남미 음식,4.1,서울시 마포구 연남동 240-2 1F,월-금: 11:30 - 21:50 토-일: 11:00 - 21:50,070-7677-9451,10
마담 티라미수 , 카페 / 디저트,4.0,서울시 마포구 합정동 386-37 B1,09:00 - 23:00,02-332-7358,215
산왕반점, 정통 중식 / 일반 중식,4.0,서울시 마포구 연남동 241-17,11:30 - 22:00,02-324-0305,162
로로11, 이탈리안,4.0,서울시 마포구 서교동 398-5,12:00 - 21:00,02-6085-1010,95
죠티레스토랑, 인도 음식,4.0,서울시 마포구 노고산동 31-4,11:00 - 22:00,02-703-3535,117
구스토타코, 남미 음식,4.0,서울시 마포구 상수동 146-6,11:30 - 22:00,02-338-8226,156
히노키공방, 정통 일식 / 일반 일식,4.0,서울시 마포구 노고산동 56-18 1F,12:00 - 21:00,02-3143-2979,111
맘맘테이블, 베트남 음식,4.4,서울시 서대문구 창천동 13-13,21:00,,145
비아 메렝게, 남미 음식,4.4,서울시 서대문구 창천동 45-9 1F,12:00 - 23:00,02-363-3812,95
홋카이도부타동스미레, 돈부리 / 일본 카레 / 벤토,4.4,서울시 서대문구 창천동 5-32,14:30 - 17:00,,102
떼뮤즐렛, 칵테일 / 와인,4.4,서울시 서대문구 연희동 188-71 2F,13:00 - 01:00,010-7180-6316,25
화명당마라탕, 기타 중식,4.4,서울시 서대문구 대현동 34-35,11:00 - 21:00,02-313-9218,19
우동카덴, 라멘 / 소바 / 우동,4.3,서울시 서대문구 연희동 81-1 거화빌딩 1F,월-금: 11:30 - 22:00 토: 11:30 - 21:30,02-337-6360,66
고삼이, 한정식 / 백반 / 정통 한식,4.3,서울시 서대문구 창천동 53-8,10:00 - 21:00,02-324-1403,96
담산, 고기 요리,4.3,서울시 서대문구 창천동 72-31,11:00 - 23:00,02-6404-8469,43
바코드, 칵테일 / 와인,4.3,서울시 서대문구 창천동 52-38,19:00 - 03:00,0507-1316-6369,25
야채를담다 , 카페 / 디저트,4.3,서울시 서대문구 대현동 60-11 2F 51호,11:30 - 19:30,070-7797-4008,18
아콘스톨, 기타 한식,4.3,서울시 서대문구 대현동 110-20 110호,,02-364-1301,4
티앙팡오후의홍차, 카페 / 디저트,4.2,서울시 서대문구 대현동 54-28,12:00 - 23:00,02-364-4196,121
솔리드웍스, 카페 / 디저트,4.2,서울시 서대문구 대현동 142-17,월-금: 11:00 - 22:00 토: 11:00 - 20:00,070-4795-8437,49
쏘이54, 태국 음식,4.2,서울시 서대문구 대현동 56-33,11:30 - 20:00,02-313-9579,36
텐조, 이자카야 / 오뎅 / 꼬치,4.2,서울시 서대문구 북가좌동 310-6,18:00 - 04:00,02-303-1057,17
독립문맛집, 해산물 요리,4.2,서울시 서대문구 옥천동 72-2,12:00 - 22:00,02-362-5659,9
심플리키친, 기타 한식,4.2,서울시 서대문구 대현동 37-32 107호,11:00 - 21:00,070-4132-7000,31
크래프트비어칸, 치킨 / 호프 / 펍,4.2,서울시 서대문구 연희동 188-50,18:00 - 02:00,02-325-7903,21
시장에간남자, 퓨전 한식,4.2,서울시 서대문구 창천동 288,17:00 - 24:00,02-338-0407,10
로실링, 치킨 / 호프 / 펍,4.2,서울시 서대문구 창천동 13-49,16:00 - 24:00,010-7203-6531,26
바틸트, 칵테일 / 와인,4.2,서울시 서대문구 창천동 52-151 2F,19:30 - 02:00,02-322-8279,10
TMOON, 이탈리안,4.2,서울시 서대문구 창천동 70-39,16:00 - 22:00,02-336-1367,11
육회본가, 고기 요리,4.2,서울시 서대문구 창천동 52-45,17:00 - 05:00,02-335-1006,14
방콕익스프레스, 태국 음식,4.1,서울시 서대문구 대현동 104-25,11:30 - 22:00,02-6401-7793,178
초코블로썸, 카페 / 디저트,4.1,서울시 서대문구 창천동 5-39,월-금: 14:00 - 23:00 토-일: 12:00 - 23:00,02-365-1050,102
공복식당, 고기 요리,4.1,서울시 서대문구 창천동 2-2 1F,16:00 - 23:00,02-312-6692,86
탕화쿵부, 기타 중식,4.1,서울시 서대문구 대현동 110-5 2F,,,83
피망과토마토, 치킨 / 호프 / 펍,4.1,서울시 서대문구 창천동 46-3 6F,17:00 - 02:00,070-8884-9031,14
Thursday Stuffing, 브런치 / 버거 / 샌드위치,4.1,서울시 서대문구 연희동 133-10,11:00 - 19:00,02-322-2359,21
라이프커피컴퍼니, 카페 / 디저트,4.1,서울시 서대문구 대현동 56-57 1F,월-금: 8:30 - 20:00 토: 10:30 - 20:00 일: 11:30 - 17:00,010-2704-9986,25
서대문족발, 고기 요리,4.1,서울시 서대문구 미근동 31-14,11:00 - 23:20,02-312-5580,35
월순철판동태찜, 해산물 요리,4.1,서울시 서대문구 연희동 130-10,11:30 - 22:00,02-325-1567,22
헌치브라운, 카페 / 디저트,4.0,서울시 서대문구 창천동 45-6,11:00 - 24:00,02-711-2728,79
가마마루이라멘, 라멘 / 소바 / 우동,4.0,서울시 서대문구 창천동 91-6,11:00 - 21:00,02-3142-3929,141
조선의육개장, 탕 / 찌개 / 전골,4.0,서울시 서대문구 창천동 57-61,월-토: 11:30 - 21:00 일: 12:00 - 20:00,02-336-1577,112
삭, 기타 한식,4.0,서울시 서대문구 대현동 56-33,12:00 - 22:30,02-363-0709,124
컨시어지 커피, 카페 / 디저트,4.0,서울시 서대문구 연희동 134-16,월-금: 08:00-19:30 토-일: 10:00-19:30,02-332-5335,35
타이완소야, 정통 중식 / 일반 중식,4.0,서울시 서대문구 창천동 57-5,17:30 - 02:00,02-3144-4725,34
리틀쿠바, 퓨전 양식,4.0,서울시 서대문구 창천동 30-1 현대백화점 신촌점 신관 신촌푸드앨리 11F,10:30 - 22:00,02-3145-3086,35
통통돼지, 고기 요리,4.0,서울시 서대문구 창천동 13-33,16:30 - 04:00,02-363-1263,39
칼, 퓨전 양식,4.0,서울시 서대문구 창천동 5-96,12:00 - 21:00,070-7626-1010,24
홍대삭, 기타 한식,4.0,서울시 서대문구 연희동 188-5,16:00 - 02:00,02-6013-5205,31
탐복, 해산물 요리,4.0,서울시 서대문구 창천동 30-33 10F,10:30 - 20:30,02-3145-2065,16
꼬끼오분식, 기타 한식,4.0,서울시 서대문구 대현동 34-41 2F,,070-4897-7111,6
파이홀, 카페 / 디저트,3.9,서울시 서대문구 창천동 57-61 1F,11:00 - 23:00,02-334-1181,245
클로리스, 카페 / 디저트,3.9,서울시 서대문구 창천동 13-35,11:00 - 23:30,02-392-7523,222
이자카야카덴, 이자카야 / 오뎅 / 꼬치,3.9,서울시 서대문구 연희동 81-1 거화빌딩 2F,18:00 - 24:00,02-3142-6362,38
키친31, 이자카야 / 오뎅 / 꼬치,3.9,서울시 서대문구 창천동 5-32 1F,17:00 - 23:30,02-312-6709,29
피터팬 1978, 베이커리,3.9,서울시 서대문구 연희동 90-5,08:00 - 22:00,02-336-4775,82
하루돈까스, 까스 요리,3.9,서울시 서대문구 창천동 52-114,11:15 - 21:00,02-335-7047,107
더파니니, 브런치 / 버거 / 샌드위치,3.9,서울시 서대문구 대현동 60-5 1F,월-금: 10:30 - 20:00 토: 11:00 - 19:00,02-362-3567,46
연희김밥, 기타 한식,3.9,서울시 서대문구 연희동 129-3,06:00 - 20:00,02-323-8090,98
빵사이에낀과일, 브런치 / 버거 / 샌드위치,3.9,서울시 서대문구 대현동 56-125,11:00 - 21:00,02-364-8002,82
뉘블랑쉬베이커리, 베이커리,3.9,서울시 서대문구 연희동 123-2,월,,10
돈불1971, 고기 요리,3.9,서울시 서대문구 창천동 62-37,16:00 - 24:00,02-3141-1617,23
연탄생고기파는이층집, 고기 요리,3.9,서울시 서대문구 창천동 52-147,월-토: 15:00 - 02:00 일: 15:00 - 24:00,02-324-8382,20
경성팥집옥루몽, 카페 / 디저트,3.9,서울시 서대문구 대신동 50-3,월-금: 08:00 - 22:00 토-일: 10:00 - 22:00,02-312-0015,63
훈카츠, 까스 요리,3.9,서울시 서대문구 대현동 90-25,11:00 - 21:30,02-312-3006,26
아무, 칵테일 / 와인,3.9,서울시 서대문구 창천동 52-40,18:00 - 02:00,070-7560-5240,13
벤치 커피 스튜디오, 카페 / 디저트,3.9,서울시 서대문구 대현동 104-18 2F,11:00 - 20:00,02-365-5999,8
청키파이, 카페 / 디저트,3.9,서울시 서대문구 대현동 60-11 박스퀘어 2F,,,14
알레스구떼, 베이커리,3.8,서울시 서대문구 연희동 79-10,,02-6402-1298,14
폼프리츠, 브런치 / 버거 / 샌드위치,3.8,서울시 서대문구 창천동 52-40,15:00 - 02:00,02-332-7415,79
초당쌈밥, 한정식 / 백반 / 정통 한식,3.8,서울시 서대문구 창천동 2-77,10:30 - 23:00,02-313-0537,23
이츠동, 돈부리 / 일본 카레 / 벤토,3.8,서울시 서대문구 북아현동 156-8 1F,월-토: 11:30 - 22:00 일: 11:30 - 16:00,02-363-3438,19
94단, 이자카야 / 오뎅 / 꼬치,3.8,서울시 서대문구 창천동 53-80 1F,일,,14
쇼콜라티끄, 카페 / 디저트,3.8,서울시 서대문구 연희동 130-13,11:00 - 20:00,070-8870-6598,8
독일빵집, 베이커리,3.8,서울시 서대문구 연희동 132-20,06:00 - 22:00,02-324-9717,12
커피콘하스, 카페 / 디저트,3.7,서울시 서대문구 연희동 90-1,11:00 - 21:00,02-325-0792,43
연희동칼국수, 국수 / 면 요리,3.7,서울시 서대문구 연희동 132-29,11:00 - 21:00,02-333-3955,133
고기창고, 고기 요리,3.7,서울시 서대문구 창천동 52-78,10:30 - 23:00,02-323-9090,23
카페콩, 카페 / 디저트,3.7,서울시 서대문구 창천동 13-50,,,22
블랙번즈, 카페 / 디저트,3.7,서울시 서대문구 창천동 52-40,09:50 - 24:30,02-393-9077,27
순이네고릴라, 기타 한식,3.7,서울시 서대문구 홍은동 409-33,11:00 - 17:00 ,02-308-8743,16
스튜디오웝, 카페 / 디저트,3.7,서울시 서대문구 대신동 90-8,08:00 - 23:00,010-6491-5520,11
Village Brewery, 치킨 / 호프 / 펍,3.7,서울시 서대문구 창천동 52-110,12:00 - 01:00,02-332-1134,10
라화쿵푸, 기타 중식,3.7,서울시 서대문구 대현동 56-102,10:00 - 21:30,02-3148-7789,11
베지베어, 퓨전 한식,3.7,서울시 서대문구 대현동 60-11 박스퀘어 2F 49호,,010-5558-9328,6
구복, 딤섬 / 만두,3.6,서울시 서대문구 창천동 13-49,11:30 - 21:00,02-363-2020,106
미세기, 회 / 스시,3.6,서울시 서대문구 창천동 91-6,12:00 - 22:00,02-333-2146,64
낭만식탁, 정통 일식 / 일반 일식,3.6,서울시 서대문구 대현동 56-110,,,30
소오밥, 정통 일식 / 일반 일식,3.6,서울시 서대문구 대현동 60-5,11:00 - 21:00,02-6397-8917,28
카우떡볶이, 기타 한식,3.5,서울시 서대문구 대현동 34-40,11:00 - 22:30,02-313-9999,24
아만도, 한정식 / 백반 / 정통 한식,3.5,서울시 서대문구 연희동 30-10,10:00 - 20:30,02-3143-0971,47
마리웨일237, 카페 / 디저트,3.5,서울시 서대문구 창천동 20-25,,070-8817-0834,14
라본느타르트, 카페 / 디저트,3.4,서울시 서대문구 대신동 90-1,월-금: 09:00 - 21:00 토: 09:00 - 19:00,02-393-1117,30
효동각, 정통 중식 / 일반 중식,3.4,서울시 서대문구 대신동 50-2,"일, 월",070-4137-0682
나뚜루, 카페 / 디저트,3.4,서울시 서대문구 창천동 30-14,10:00 - 02:00,02-3141-6855,15
이화당제과, 베이커리,3.3,서울시 서대문구 대신동 50-6,07:30 - 23:00,02-392-5572,12
이지인디아, 인도 음식,3.2,서울시 서대문구 창천동 9-20,11:30 - 22:00,02-393-7771,23
소바연구소, 라멘 / 소바 / 우동,3.2,서울시 서대문구 창천동 5-30 1F,,070-7795-6969,11
마루가메제면, 라멘 / 소바 / 우동,3.2,서울시 서대문구 창천동 30-11,11:00 - 21:30,02-3144-3967,50
화가와요리사, 기타 한식,3.2,서울시 서대문구 대신동 90-8,월-토: 10:30 - 21:00 일: 10:30 - 16:00,02-364-1970,29
곰미커피, 카페 / 디저트,3.2,서울시 서대문구 대현동 104-16,,,17
설레임삼겹살, 고기 요리,3.2,서울시 서대문구 창천동 57-40 낙원빌딩 1F,12:00 - 06:00,02-3144-1727,23
시그니처랩, 이탈리안,2.9,서울시 서대문구 창천동 30-33 현대백화점 신촌점 식당가 10F,10:30 - 21:00,02-3145-2035,13
부엉이돈가스, 까스 요리,2.8,서울시 서대문구 창천동 5-70,11:30 - 22:00,02-312-1216,26
마포만두, 한정식 / 백반 / 정통 한식,2.7,서울시 서대문구 창천동 30-11,00:00 - 24:00,02-334-9842,21
쁠라뒤쥬르, 프랑스 음식,,서울시 서대문구 연희동 95-47,15:00 - 18:00,02-383-8320,11
묘한술책, 칵테일 / 와인,,서울시 서대문구 연희동 130-13,,02-326-0845,7
포원제로, 브런치 / 버거 / 샌드위치,,서울시 서대문구 대현동 104-36 자이엘라 104호,화-토: 11:30 - 24:00 일: 11:30 - 22:00,02-313-3534,17
스시쇼부, 회 / 스시,4.4,서울시 은평구 응암동 85-4 2F,11:30 - 22:00,02-386-0045,43
참새식당 스즈메, 일반 주점,4.3,서울시 은평구 갈현동 402-23 1F 102호,12:00 - 22:00,010-2771-8233,13
니하오, 딤섬 / 만두,4.1,서울시 은평구 신사동 23-7,11:30 - 22:00,02-386-5178,20
텐파이프, 카페 / 디저트,3.9,서울시 은평구 진관동 62 1F 103호,,02-352-0173,5
원조두꺼비불오징어, 해산물 요리,3.8,서울시 은평구 대조동 185-30,월-목: 12:00 - 23:00 금-일: 12:00 - 22:00,02-355-3130,46
스프링그린, 카페 / 디저트,,서울시 은평구 진관동 100-3 아이파크포레스트게이트 B109호,11:00 - 21:00,02-355-0508,4
카페 달력, 카페 / 디저트,,서울시 은평구 대조동 50-2,10:00 - 22:00,070-7376-0910,7
Cafe B, 카페 / 디저트,,서울시 은평구 갈현동 403-17,12:00 - 23:00,070-7380-1233,7
미소복원조양평해장국, 탕 / 찌개 / 전골,,서울시 은평구 갈현동 460-18,00:00 - 24:00,02-354-5058,14
주다, 이자카야 / 오뎅 / 꼬치,,서울시 은평구 갈현동 402-17 1F,,02-353-2030,4
디스위켄드, 카페 / 디저트,,서울시 은평구 대조동 77-10,,,1
태백산 생고기, 고기 요리,,서울시 은평구 대조동 185-40,,02-389-0406,5
랩오아시스, 이탈리안,,서울시 은평구 갈현동 453-20 2F,,02-353-2132,0
시골감자국, 탕 / 찌개 / 전골,,서울시 은평구 응암동 602-32,,02-302-8484,5
인생, 일반 주점,,서울시 은평구 갈현동 402-28 2F,일-목: 18:00 - 04:00 금-토: 18:00 - 06:00,010-8635-5963,4
온순씨, 인도 음식,,서울시 은평구 신사동 338-70,,,4
믿음양꼬치, 기타 중식,,서울시 은평구 녹번동 156-40 1F,,02-357-3339,3
점보화이트, 카페 / 디저트,,서울시 은평구 갈현동 450-22,,0507-1334-6412,10
