식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
쓲,일식집,5.0,서울 서초구 강남대로 455,매일 11:00 ~ 21:00 · 브레이크타임 매일 14:30 ~ 17:00,02-599-0999,46,2건
삼시세끼 셰프반찬,한식,4.5,서울 강남구 강남대로120길 42 지층,,02-511-2415,0,2건
호족반 청담,퓨전한식,3.6,서울 강남구 언주로164길 39,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:30,0507-1399-3353,529,69건
스케줄 청담,양식,3.1,서울 강남구 선릉로152길 37 지하1층,매일 11:00 ~ 22:00,02-548-3356,461,72건
카페노티드 청담,디저트카페,3.6,서울 강남구 도산대로53길 15 1층,매일 09:00 ~ 21:00,,1/658,226건
팀호완 삼성점,중식,3.5,서울 강남구 봉은사로86길 30 1층,매일 11:30 ~ 21:30 · 브레이크타임1 월~금 15:00 ~ 17:30,0507-1374-3082,566,127건
꽁티드툴레아 도산점,테마카페,3.1,서울 강남구 도산대로49길 39 1층,월~토 11:00 ~ 24:00,070-8846-8490,623,56건
카페캠프통 압구정살롱점,디저트카페,3.4,서울 강남구 압구정로42길 27,매일 12:00 ~ 19:00,02-3445-0369,761,37건
구구당,퓨전요리,3.8,서울 강남구 강남대로102길 35,매일 11:30 ~ 22:00,02-539-1979,729,146건
진미평양냉면,냉면,3.7,서울 강남구 학동로 305-3 정각빌딩 1층,매일 11:00 ~ 21:30,02-515-3469,518,191건
다운타우너 청담,햄버거,4.2,서울 강남구 도산대로53길 14 1층,매일 11:00 ~ 21:00,0507-1422-9399,615,153건
중앙해장,해장국,4.0,서울 강남구 영동대로86길 17 육인빌딩 1층,화~토 00:00 ~ 24:00,02-558-7905,717,290건
블루보틀 역삼 카페,카페,3.2,서울 강남구 테헤란로 129 강남N타워 1층,월~금 08:00 ~ 20:00,02-6212-6998,178,66건
리틀넥 청담,양식,3.9,서울 강남구 도산대로51길 17 1층,매일 11:00 ~ 21:30 · 브레이크타임 월~목 15:00 ~ 17:00,02-792-1476,919,118건
압구정공주떡,떡/한과,3.8,서울 강남구 논현로161길 10 1층,매일 00:00 ~ 24:00,02-516-3643,298,89건
랑데자뷰 강남점,카페,3.4,서울 강남구 봉은사로6길 39 1층,매일 11:00 ~ 23:00,02-552-0204,567,53건
바비레드 강남본점,양식,4.5,서울 강남구 봉은사로6길 39 지하1층,매일 11:30 ~ 22:00,02-3452-1515,838,473건
울프강스테이크하우스,양식,3.7,서울 강남구 선릉로152길 21 영인빌딩 1층,매일 10:00 ~ 23:00,02-556-8700,457,96건
농민백암순대 본점,순대,4.3,서울 강남구 선릉로86길 40-4 알앤지타운 1층,월~금 11:10 ~ 21:00,02-555-9603,347,210건
카츠바이콘반,돈까스/우동,4.1,서울 강남구 선릉로153길 36 1층,화~일 11:30 ~ 20:30 · 브레이크타임1 화~금 15:00 ~ 17:30,,412,147건
보슬보슬,분식,3.3,서울 강남구 테헤란로8길 22,매일 08:00 ~ 21:00,02-6014-1245,478,108건
땀땀,베트남음식,3.4,서울 강남구 역삼동 817-31,매일 11:00 ~ 22:00,02-554-8892,2/271,206건
뽕나무쟁이 선릉본점,족발/보쌈,4.1,서울 강남구 역삼로65길 31,매일 12:00 ~ 02:00,02-558-9279,307,121건
까폼 본점,태국음식,4.2,서울 강남구 선릉로153길 18 지하1층,매일 11:30 ~ 22:00,02-6081-7318,294,121건
어글리스토브 강남역점,양식,3.4,서울 강남구 강남대로98길 20 1층,매일 10:30 ~ 22:30,02-558-8459,482,57건
라그릴리아 SPC스퀘어점,이탈리안,3.7,서울 강남구 강남대로 352 SPC스퀘어 3층,매일 11:00 ~ 23:00,02-567-9192,221,63건
정식당,퓨전한식,4.3,서울 강남구 선릉로158길 11,매일 12:00 ~ 22:30 · 브레이크타임 매일 15:00 ~ 17:30,02-517-4654,324,103건
몽중헌 청담점,중화요리,3.8,서울 강남구 도산대로 445 엠빌딩 지하1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 18:00,02-3446-7887,133,36건
새벽집 청담점,육류/고기,3.1,서울 강남구 도산대로101길 6,매일 00:00 ~ 24:00,02-546-5739,153,99건
어거스트힐,이탈리안,4.5,서울 강남구 강남대로106길 25 1층,매일 11:30 ~ 22:00,02-568-8003,319,180건
정돈,돈까스/우동,4.1,서울 강남구 강남대로110길 26 1층,매일 11:30 ~ 21:00 · 브레이크타임 매일 14:00 ~ 17:00,02-563-0924,211,211건
영천영화 청담점,육류/고기,3.5,서울 강남구 도산대로90길 3,매일 00:00 ~ 24:00,02-3442-0381,189,40건
칙피스 가로수길점,샐러드,4.0,서울 강남구 강남대로152길 69,,02-6956-6780,373,122건
테라로사 포스코센터점,커피전문점,3.9,서울 강남구 테헤란로 440 포스코센터 1층,월~금 07:30 ~ 21:00,,372,69건
알베르,카페,2.8,서울 강남구 강남대로102길 34,매일 11:00 ~ 23:00,02-566-6181,325,150건
맘마미아,카페,3.0,서울 강남구 압구정로42길 45,매일 10:00 ~ 23:00,02-511-0620,847,75건
아우어베이커리 가로수길점,제과/베이커리,4.0,서울 강남구 강남대로162길 39,매일 09:00 ~ 22:00,02-546-3800,693,139건
수담한정식,한정식,3.4,서울 강남구 봉은사로 418,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,02-558-4900,219,41건
정월,카페,3.8,서울 강남구 강남대로102길 46 1층,매일 11:00 ~ 23:00,02-6013-0926,471,61건
창고43 강남점,육류/고기,3.2,서울 강남구 강남대로 362 대륭강남타워 지하1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 14:00 ~ 17:30,02-508-0043,119,52건
포브라더스 도곡점,동남아음식,3.5,서울 강남구 논현로28길 40 덕영빌딩,매일 11:00 ~ 22:00,02-574-4147,206,67건
카페413프로젝트,카페,4.2,서울 강남구 논현로97길 19-11,화~일 10:30 ~ 21:00,070-7798-0544,262,79건
강강술래 역삼점,육류/고기,3.6,서울 강남구 논현로 325,매일 11:00 ~ 23:00,02-567-9233,38,27건
썸띵어바웃커피,디저트카페,3.8,서울 강남구 강남대로102길 30 1~3층,매일 12:00 ~ 23:00,,532,73건
능라도 강남점,냉면,3.7,서울 강남구 삼성로 534,매일 11:30 ~ 21:30,02-569-8939,113,83건
온달집 본점,실내포장마차,3.5,서울 강남구 강남대로152길 28 1층,영업시간 매일 18:00 ~ 05:00,02-511-5262,221,40건
오리지널 팬케이크하우스 가로수길점,디저트카페,3.3,서울 강남구 강남대로162길 41 동원빌딩 1층,월~금 09:00 ~ 21:00,02-511-7481,151,67건
길목,육류/고기,4.2,서울 강남구 영동대로129길 10 1층,영업시간 월~금 16:00 ~ 23:00,02-518-9710,285,61건
페어링룸,이탈리안,3.9,서울 강남구 도산대로81길 14 1층,매일 11:00 ~ 00:00,,349,75건
한일관 압구정점,한정식,3.6,서울 강남구 압구정로38길 14,매일 11:30 ~ 21:30,02-732-3735,61,52건
빌즈 강남,양식,3.4,서울 강남구 테헤란로 142 아크플레이스 2층,매일 09:00 ~ 22:00,02-568-1353,253,37건
뱃고동,해물/생선,3.4,서울 강남구 언주로172길 54 지하 1층,월~금 11:30 ~ 22:00,02-514-8008,306,68건
도수향,떡/한과,3.0,서울 강남구 선릉로161길 21-4,월~금 08:30 ~ 18:00,02-540-2939,105,32건
