식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
팔복도가니탕 강동점,설렁탕,3.6,경기 하남시 서하남로 24,매일 06:00 ~ 22:00,02-488-1488,27,16건
양진말웅골,샤브샤브,4.4,서울 강동구 강동대로53길 18 진스빌딩 2층,월~토 10:00 ~ 22:00,02-486-8861,12,11건
스윗솔트,디저트카페,4.5,서울 강동구 상암로 286,매일 08:30 ~ 23:00,02-3427-0999,251,209건
백년화편,떡/한과,4.4,서울 강동구 양재대로81길 18,매일 08:00 ~ 19:00,02-472-1988,72,19건
갓잇 올림픽공원점,멕시칸/브라질,3.7,서울 강동구 성안로 14,매일 11:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-485-9451,181,46건
차이나린찐,중화요리,2.5,서울 강동구 강동대로 217 인텍스파크뷰 1층,매일 11:30 ~ 21:30,02-470-2600,81,61건
스테이지28,패밀리레스토랑,3.6,서울 강동구 아리수로61길 105 1층,매일 12:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:30,02-3426-1928,185,27건
브랜뉴하이몬드,디저트카페,2.9,서울 강동구 천호옛14길 11 1/2층,매일 09:00 ~ 23:00,02-478-2402,234,38건
로니로티 천호점,이탈리안,3.6,서울 강동구 천호대로 1027 2층,매일 11:30 ~ 22:30 · 브레이크타임 매일 15:30 ~ 16:30,02-487-7999,424,21건
긴자 올림픽공원점,일식집,3.2,서울 강동구 강동대로 223,매일 11:30 ~ 22:00,02-483-1122,60,20건
이한진숙성회,회,4.4,서울 강동구 구천면로 247-1 2층,영업시간 월~금 17:00 ~ 23:00,02-476-5007,89,30건
풍년상회쪽갈비,갈비,4.3,서울 강동구 천호옛14길 23-6,영업시간 매일 16:00 ~ 24:00,02-478-0555,77,50건
인정원월남쌈 본점,동남아음식,2.9,서울 강동구 천호대로 1158 1층,매일 11:30 ~ 22:00,02-476-7077,65,29건
강동반상,한정식,2.9,서울 강동구 상일로6길 39 강동타워 지하1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:20,02-429-2733,108,15건
더식당,양식,4.2,서울 강동구 천호대로157길 24 2층,매일 11:00 ~ 23:00,02-489-0403,79,24건
온전히,초밥/롤,3.9,서울 강동구 천호대로176길 10 상미빌딩1층,화/일요일,,84,67건
커피몽타주,커피전문점,4.0,서울 강동구 올림픽로48길 23-12 1층,월~금 08:00 ~ 18:00,070-8262-1303,97,43건
족발선생,족발/보쌈,4.4,서울 강동구 올림픽로70길 51-6,영업시간 월~금 17:00 ~ 01:00,02-472-1333,78,19건
신흥정육식당,육류/고기,3.3,서울 강동구 양재대로89길 16,매일 12:00 ~ 24:00,02-488-3313,69,24건
푸지미곱창,곱창/막창,3.9,서울 강동구 천호옛14길 23,영업시간 매일 16:00 ~ 22:00,,126,47건
버섯잔치집,한식,3.9,서울 강동구 성내로 52,월~금 11:00 ~ 23:00,02-470-0092,131,34건
안녕식당,일식,3.0,서울 강동구 천호대로159길 53,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:00,,213,71건
이탄집 길동점,육류/고기,4.0,서울 강동구 양재대로111길 15 115/ 116호,영업시간 매일 15:00 ~ 06:00,02-516-7888,236,4건
수라연,한정식,2.2,서울 강동구 강동대로 143-64 태창타워 2층,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,02-473-0550,34,29건
미드데이썬,카페,4.3,서울 강동구 양재대로91나길 55,화~일 11:00 ~ 22:00,02-471-1235,111,27건
데카망,일식,4.2,서울 강동구 천호옛14길 35 1층 101호,화~일 11:30 ~ 20:30 · 브레이크타임 화~일 14:30 ~ 17:30,010-7484-8424,131,65건
페더커피,카페,4.9,서울 강동구 진황도로 123 1층 101호,월~토 12:00 ~ 21:00,070-4118-0578,138,39건
꼼떼바베큐 둔촌본점,이탈리안,2.5,서울 강동구 동남로51길 9 1층,,02-470-2001,66,13건
오늘손칼국수&찜 강동본점,해물/생선,3.7,서울 강동구 풍성로 206,매일 11:00 ~ 22:00,02-477-0777,53,23건
고급아바이순대,순대,3.0,서울 강동구 진황도로 127,매일 11:30 ~ 21:00,02-484-4317,67,22건
메이탄 길동점,중화요리,4.0,서울 강동구 천호대로 1125 2층,매일 11:00 ~ 21:30 · 브레이크타임 월~금 15:30 ~ 17:00,02-474-2988,46,22건
양도령숯불민물장어 본점,장어,3.0,서울 강동구 양재대로 1521,매일 11:00 ~ 23:00,02-489-0010,166,7건
평상시,카페,3.8,서울 강동구 고덕로20길 26 1층 101호,,070-7655-0005,92,21건
으뜸회,회,3.4,서울 강동구 양재대로122가길 39 1층,월~토 11:30 ~ 23:30,02-6397-8113,28,25건
멘야세븐,일본식라면,3.6,서울 강동구 양재대로112길 45,월~토 11:30 ~ 20:30 · 브레이크타임 월~토 14:30 ~ 17:00,070-4300-7771,106,27건
스타시티서울,양식,5.0,서울 강동구 구천면로 140,매일 11:00 ~ 03:00,02-488-2042,145,1건
길조,매운탕/해물탕,3.5,서울 강동구 천호대로 1173,월~토 11:00 ~ 22:00,02-476-9494,64,26건
봉래면옥,냉면,4.1,서울 강동구 명일로 200-16,매일 11:00 ~ 22:00,02-6081-2500,48,30건
쭈꾸미도사 천호점,해물/생선,4.5,서울 강동구 천호대로158길 9 1층,매일 11:11 ~ 23:59,02-488-0523,94,18건
하다식당,일식집,4.7,서울 강동구 양재대로124길 29,월/화/목/금 11:30 ~ 21:00 · 브레이크타임 월/화/목/금/토/일 15:00 ~ 18:00,02-474-3555,59,47건
송하정스시,초밥/롤,4.3,서울 강동구 상일로 39-8 1층,월~토 11:30 ~ 21:00,010-7104-9482,68,15건
솜솜베이커리,제과/베이커리,3.5,서울 강동구 암사1가길 37 1층,월/화/수요일,,58,17건
송월냉면,냉면,3.8,서울 강동구 구천면로29길 26,매일 09:00 ~ 21:00,02-484-1910,62,24건
성내동커피집 온온,커피전문점,4.5,서울 강동구 성내로18길 34 1층,월~금 08:30 ~ 18:30,,61,28건
씨푸드박스 천호본점,바닷가재,4.0,서울 강동구 구천면로 149 1층,영업시간 월~금 18:00 ~ 01:00,02-478-4474,59,6건
숯불돼지갈비마포집,갈비,4.4,서울 강동구 천호옛14길 16,매일 11:30 ~ 23:00,02-475-3984,31,27건
시집,육류/고기,4.4,서울 강동구 천호대로158길 15-8,영업시간 매일 17:00 ~ 24:00,02-486-8986,24,19건
서초면옥 천호본점,냉면,2.7,서울 강동구 올림픽로 728,매일 10:30 ~ 22:00,02-489-1423,43,29건
천호동엄마손만두,분식,3.5,서울 강동구 올림픽로 683 명화빌딩 1층 101호,월~토 11:30 ~ 19:00,02-471-4436,39,17건
킹콩파스타,이탈리안,4.3,서울 강동구 진황도로47길 67 1층,매일 11:30 ~ 22:30,02-477-5389,89,12건
피콜로,이탈리안,4.3,서울 강동구 천호대로168가길 51 1층,화~일 11:30 ~ 21:00 · 브레이크타임 화~일 14:30 ~ 17:00,02-6081-5952,107,45건
세꼬시,회,4.8,서울 강동구 양재대로 1427,매일 12:00 ~ 22:00,02-473-8664,22,13건
황도바지락칼국수,국수,2.8,서울 강동구 천호대로 1256,매일 10:00 ~ 21:30,02-484-6554,54,32건
