식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
다래함박스텍,돈까스/우동,4.2,서울 강북구 수유로 20-2,화~일 10:00 ~ 21:00 · 점심시간 화~일 15:00 ~ 16:00,02-2241-7558,92,57건
대보명가 서울본점,한식,3.5,서울 강북구 4.19로 69,매일 11:00 ~ 21:00,02-907-6998,35,34건
엘림들깨수제비칼국수,국수,4.3,서울 강북구 삼각산로 67,월~토 11:30 ~ 21:30 · 브레이크타임1 월~금 15:40 ~ 16:30,02-996-2583,146,67건
진호횟집,회,3.8,서울 강북구 도봉로98길 33 1층,,02-902-9915,64,48건
카페어니언 미아점,카페,4.3,서울 강북구 솔매로50길 55 1층,매일 10:00 ~ 22:00,070-7816-2714,88,39건
대가집,감자탕,3.8,서울 강북구 한천로 1158,매일 10:00 ~ 24:00,02-914-9428,52,12건
장수마늘보쌈,족발/보쌈,4.3,서울 강북구 덕릉로 192,화~일 11:00 ~ 23:00,02-997-6155,81,38건
황주집,곱창/막창,3.3,서울 강북구 도봉로 372,매일 12:00 ~ 24:00,02-903-6275,184,49건
스시노칸도 수유점,초밥/롤,3.5,서울 강북구 한천로139나길 1 3층,매일 11:30 ~ 22:00,02-997-5949,139,30건
대광어회집,회,3.7,서울 강북구 노해로 31,영업시간 매일 16:00 ~ 04:00,02-903-6789,80,19건
산성골,육류/고기,3.1,서울 강북구 덕릉로 126,매일 10:00 ~ 23:00,02-989-7341,34,14건
흥부전놀부전,호프/요리주점,3.3,서울 강북구 노해로 42-1,영업시간 월~토 16:00 ~ 02:00,02-900-2779,87,21건
샘터마루,한식,4.3,서울 강북구 4.19로12길 35 지하1층/ 1층,매일 06:30 ~ 20:00,02-902-6456,54,24건
제일분식,분식,2.5,서울 강북구 도봉로 45 숭인시장,월~금 10:00 ~ 22:00,02-985-7333,162,36건
경계선,커피전문점,4.4,서울 강북구 삼각산로 22-7,매일 11:00 ~ 19:00,010-3957-7341,63,23건
미즐카페엠,카페,2.8,서울 강북구 4.19로 107,매일 10:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:30,02-999-5055,129,26건
깃든,육류/고기,4.8,서울 강북구 월계로7나길 46-5,월~토 11:00 ~ 23:00,02-987-1025,86,12건
카페멘디,카페,4.0,서울 강북구 4.19로8길 7-2,화~일 10:00 ~ 22:00,,115,26건
보배반점 미아직영점,중화요리,3.1,서울 강북구 솔샘로 293 1층,매일 11:00 ~ 22:00,,103,13건
무너미,카페,3.1,서울 강북구 노해로8가길 40 1층,매일 12:00 ~ 21:00,,133,40건
화로상회 수유점,고기뷔페,4.4,서울 강북구 한천로140길 22,매일 12:00 ~ 02:00,02-992-9993,117,7건
이설함흥냉면,냉면,2.5,서울 강북구 4.19로 42,매일 10:30 ~ 21:30,02-997-7370,80,35건
착한낙지 수유점,해물/생선,3.8,서울 강북구 4.19로 82,매일 11:00 ~ 23:00,02-905-7963,47,14건
수유손칼국수,국수,3.2,서울 강북구 도봉로101길 45,화 10:30 ~ 15:00,02-905-9949,68,39건
라공방 수유점,중화요리,3.0,서울 강북구 한천로139길 42 영남빌딩 1층,매일 00:00 ~ 24:00,02-998-1011,76,22건
소담촌 수유점,샤브샤브,3.6,서울 강북구 도봉로 388 테마빌딩 8층,매일 11:00 ~ 22:00,02-903-9033,47,10건
소담촌 미아사거리점,샤브샤브,4.6,서울 강북구 월계로 3 덕신빌딩 5층,월~금 11:30 ~ 22:00,02-987-5566,44,11건
동네함박,양식,3.5,서울 강북구 도봉로15길 11 2층,월~금 11:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-6104-0418,81,26건
원조할매곱창 미아점,곱창/막창,2.7,서울 강북구 월계로3길 68,영업시간 매일 13:00 ~ 06:00,02-989-0878,143,32건
늘봄아갑찜 미아본점,아구,3.1,서울 강북구 도봉로 45 1층,매일 11:00 ~ 22:00,02-988-8014,35,10건
카페산아래,카페,3.0,서울 강북구 삼양로181길 56,월~금 11:30 ~ 21:00,,222,43건
벼랑순대국 본점,순대,4.3,서울 강북구 한천로 924,월~토 11:30 ~ 21:30,02-900-5459,35,18건
조개일번지,조개,3.4,서울 강북구 도봉로8길 37,영업시간 매일 13:00 ~ 05:00,02-988-1014,73,5건
옥류헌,한정식,2.1,서울 강북구 삼양로181길 142,매일 11:30 ~ 21:30,02-993-1829,64,7건
짚신매운갈비찜 미아본점,갈비,3.1,서울 강북구 월계로7나길 30-9,매일 12:00 ~ 03:00,02-982-9932,89,15건
백곱식당 수유점,곱창/막창,4.3,서울 강북구 도봉로87길 47,매일 11:30 ~ 05:00,02-908-4414,225,6건
춘천골닭갈비,닭요리,4.6,서울 강북구 한천로 1050,매일 11:30 ~ 23:00 · 브레이크타임 매일 16:00 ~ 17:00,02-992-5772,88,27건
