식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
양송곱창,곱창/막창,3.7,서울 강서구 공항대로46길 56,영업시간 매일 16:00 ~ 02:00,02-2695-3393,40,20건
1983영웅고기,육류/고기,4.7,서울 강서구 마곡중앙5로1길 20,매일 11:00 ~ 24:00,02-3663-1206,66,15건
풍천황토민물장어,장어,3.7,서울 강서구 양천로 410 108호,매일 10:00 ~ 22:00,02-3662-8585,83,17건
고양이정원,고양이카페,2.9,서울 강서구 개화동로19길 18 1층,월~금 12:30 ~ 22:00,02-2665-4507,240,97건
유림 가양본점,닭요리,3.2,서울 강서구 공항대로71길 5,매일 11:30 ~ 22:00,02-3665-3930,124,109건
금고깃집 마곡본점,육류/고기,3.5,서울 강서구 마곡동로 61 에이스프라자 109호/ 203~205호,매일 11:00 ~ 22:00,0507-1386-8295,189,94건
조연탄,한식,3.9,서울 강서구 곰달래로60길 29,월~토 13:00 ~ 01:00,070-7641-2008,190,69건
키누카누 발산점,뷔페,3.4,서울 강서구 공항대로 247 퀸즈파크나인 지하1층 103/104호,매일 11:30 ~ 22:00,02-6421-9876,40,77건
영양족발순대국,순대,4.0,서울 강서구 초록마을로2길 48 화곡본동시장 가-3호,월~금 11:30 ~ 22:00,02-2699-7914,316,85건
공항칼국수,국수,2.3,서울 강서구 공항대로 18-1,매일 09:00 ~ 22:00,02-2664-9748,259,86건
등촌칼국수,국수,3.9,서울 강서구 화곡로64길 68 1~3층,매일 11:40 ~ 21:30,02-3661-2744,210,132건
타르데마베이커리,제과/베이커리,3.8,서울 강서구 강서로46길 9 1층,,02-6397-1782,68,29건
무한야끼,육류/고기,3.9,서울 강서구 마곡중앙6로 42 사이언스타 212호,영업시간 월~금 15:00 ~ 24:00,02-3663-9252,682,61건
강원도고성막국수,국수,3.4,서울 강서구 방화대로49길 6-7,월~토 11:30 ~ 20:00 · 브레이크타임 월~금 15:30 ~ 16:40,02-2665-1205,117,61건
옥소반 마곡본점,일식집,3.4,서울 강서구 마곡중앙6로 45 리더스퀘어 1층 119호,매일 11:00 ~ 22:30 · 브레이크타임 매일 15:00 ~ 17:00,02-2668-8080,344,50건
마부자생삼겹살김치찌개,삼겹살,2.5,서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호,,02-3665-0788,237,64건
도일처,중화요리,2.9,서울 강서구 개화동로 567,매일 11:30 ~ 22:00,02-2662-2322,107,36건
닥터로빈 강서점,양식,4.4,서울 강서구 공항대로 396 1층,월~금 09:00 ~ 22:00,02-2065-3111,46,27건
백제원 등촌점,한정식,3.6,서울 강서구 공항대로 367 3층,매일 11:30 ~ 22:00,02-2668-4114,33,18건
긴꼬리초밥,초밥/롤,4.3,서울 강서구 공항대로 269-15 2층 201호,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:30 ~ 17:00,02-3662-7005,195,122건
꾸이꾸이돼지촌쭈꾸미,육류/고기,3.9,서울 강서구 초원로 77,매일 12:00 ~ 01:00,02-2662-3450,125,40건
원조나주곰탕,곰탕,4.3,서울 강서구 양천로14길 10 1층,,02-2666-8292,53,30건
뚜스뚜스 등촌점,카페,3.1,서울 강서구 공항대로45길 92 1층,매일 07:00 ~ 01:00,02-3663-0000,58,48건
띠아낭,베트남음식,4.3,서울 강서구 화곡로64길 72,월~토 11:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,070-4300-0707,109,43건
광주똑순이아구찜,아구,3.8,서울 강서구 강서로 375-8 정호빌딩 1층,매일 11:00 ~ 22:30 · 브레이크타임 매일 15:30 ~ 17:00,02-2668-3030,131,25건
이조면옥,냉면,2.3,서울 강서구 양천로 353,매일 11:30 ~ 21:30,02-3661-3457,90,45건
목동분식,분식,3.6,서울 강서구 강서로45라길 36,월~토 11:00 ~ 20:00,02-2662-4180,89,35건
삼정집,육류/고기,4.1,서울 강서구 강서로56길 92 1층,월~토 11:00 ~ 22:00,02-3662-8040,84,19건
냐항바바바,베트남음식,4.3,서울 강서구 화곡로64길 16,화~일 11:00 ~ 21:10 · 브레이크타임 화~일 15:00 ~ 17:00,02-6013-0555,144,67건
청산별곡 발산점,한정식,3.7,서울 강서구 공항대로 290 순봉빌딩 2층 207호,매일 11:00 ~ 22:00,02-3664-9599,77,34건
강남면옥 마곡점,냉면,2.4,서울 강서구 마곡동로 55 103호,,02-6907-4900,99,38건
봉이밥,한식,3.2,서울 강서구 마곡중앙로 171 안강프라이빗2차 1층 103호,매일 11:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-6954-0288,363,33건
발산삼계탕,삼계탕,3.5,서울 강서구 강서로 344,매일 11:00 ~ 21:30,02-3662-3930,103,58건
원조수구레,한식,3.1,서울 강서구 양천로26길 10-6,영업시간 매일 16:00 ~ 06:00,02-2665-4596,83,16건
카페우드진,카페,3.7,서울 강서구 마곡중앙6로 45 리더스퀘어 1층 113호,월~금 07:30 ~ 22:00,,121,25건
다채우렁돌솥쌈밥,쌈밥,4.2,서울 강서구 화곡로20길 12,매일 11:30 ~ 22:00,02-2608-0008,39,21건
도쿄하나 등촌점,일식집,3.6,서울 강서구 공항대로 367 2층,매일 11:30 ~ 22:00,02-2668-0880,39,10건
코끼리만두,한식,1.8,서울 강서구 공항대로51길 27,,02-3662-1215,59,81건
원조부안집 강서구청점,육류/고기,4.3,서울 강서구 화곡로58길 19-5 1층,영업시간 매일 16:00 ~ 02:00,02-2695-3690,276,7건
능라도 마곡점,냉면,3.2,서울 강서구 마곡동로 56 건와빌딩 2층 202/203호,매일 11:20 ~ 21:30,02-6958-8939,67,43건
고양이똥 3호점,카페,3.5,서울 강서구 공항대로45길 30 1층,매일 09:00 ~ 22:00,02-2694-0285,86,18건
갈비생각 발산점,갈비,3.8,서울 강서구 강서로54길 42 1층,매일 11:00 ~ 22:00,02-2063-1113,241,15건
칼스토랑,국수,4.3,서울 강서구 방화대로6라길 2 1층,월~토 11:00 ~ 21:00,02-2666-5142,110,39건
소장식물전,카페,4.0,서울 강서구 공항대로2길 36,월/화요일,,114,21건
브루클린커피,커피전문점,4.0,서울 강서구 강서로52길 16 1층,매일 07:00 ~ 23:00,02-3664-5595,122,46건
원조동글갈비,갈비,2.5,서울 강서구 화곡로 194-15,화~일 11:00 ~ 23:00,02-2602-9923,71,25건
송쭈집 마곡나루점,해물/생선,4.4,서울 강서구 마곡서로 158 마곡센트럴타워2차 2층,매일 11:00 ~ 22:00,02-3664-7892,231,31건
백소정 발산역점,돈까스/우동,4.4,서울 강서구 마곡중앙6로 66 퀸즈파크텐 A동 2층 203호,월~금 11:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-6411-9555,170,38건
원조 양평신내서울해장국 강서양천직영점,해장국,3.1,서울 강서구 국회대로7길 213,매일 00:00 ~ 24:00,02-2699-9876,41,24건
마곡오리,오리,3.8,서울 강서구 양천로30길 11,매일 11:00 ~ 23:00,02-3662-5292,63,16건
브런치팩토리,디저트카페,3.4,서울 강서구 마곡중앙로 36 마곡엠밸리15단지상가 102호,매일 08:30 ~ 21:00,070-4136-2631,71,23건
샤브20 발산역점,샤브샤브,3.4,서울 강서구 공항대로 261 2층,매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-2658-2005,304,16건
도화림,중화요리,3.9,서울 강서구 강서로 391 문영비지웍스 2층 206호,월~토 11:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-6952-8777,80,32건
조선갈비,갈비,2.6,서울 강서구 공항대로 341,매일 11:00 ~ 22:00,02-2658-9300,91,20건
풍천황토민물장어,장어,3.7,서울 강서구 양천로 410 108호,매일 10:00 ~ 22:00,02-3662-8585,83,17건
충북식당,한식,2.7,서울 강서구 강서로45가길 9,월~토 12:00 ~ 18:30,02-2697-1475,83,41건
발산한우진곱창,곱창/막창,4.3,서울 강서구 강서로 395,월~금 11:30 ~ 24:00 · 브레이크타임 월~토 15:30 ~ 17:00,02-2668-7776,128,6건
아웃백스테이크하우스 공항점,패밀리레스토랑,3.9,서울 강서구 마곡중앙6로 16 3층,매일 11:00 ~ 21:30,02-3661-1101,148,22건
속초그바람에 발산점,해물/생선,4.6,서울 강서구 강서로54길 11,매일 10:30 ~ 23:00,02-3665-6839,134,10건
선식당,양식,3.8,서울 강서구 우현로 5,매일 11:00 ~ 20:30 · 브레이크타임 매일 15:00 ~ 17:00,02-2608-8858,76,15건
강릉엄지네꼬막집 발산점,해물/생선,3.6,서울 강서구 공항대로 291 성원오피스텔 210/211호,매일 11:00 ~ 23:00,02-3663-6053,40,20건
대가원 본점,육류/고기,4.7,서울 강서구 공항대로 209 4층 401~405호,매일 11:00 ~ 23:30,02-3662-3902,39,83건
홍린,중화요리,3.3,서울 강서구 우장산로15길 25,매일 11:00 ~ 22:00,02-2608-6556,76,18건
홍춘천치즈닭갈비 마곡지구점,닭요리,4.4,서울 강서구 마곡중앙6로 42 사이언스타 2층 203호,매일 11:00 ~ 23:00,02-6012-6112,46,18건
명가냉면,냉면,3.8,서울 강서구 화곡로 277,매일 11:30 ~ 20:00,02-2691-2230,38,24건
도라무통,떡볶이,3.7,서울 강서구 곰달래로 163,화요일,02-2699-9282,75,17건
이가바지락손칼국수,국수,2.3,서울 강서구 양천로 460 송원빌딩,매일 09:30 ~ 21:50,02-3661-2077,64,35건
고양이똥,카페,3.5,서울 강서구 공항대로59가길 13,월~금 10:30 ~ 22:30,02-6013-1281,126,31건
선식당,양식,3.1,서울 강서구 방화대로34길 96 낙원빌딩 1층,매일 11:00 ~ 21:20 · 브레이크타임 매일 15:00 ~ 17:00,,76,20건
오복순대국 등촌직영점,순대,4.2,서울 강서구 공항대로45길 5,매일 10:00 ~ 23:00,02-3661-6611,44,54건
구도커피,커피전문점,4.7,서울 강서구 등촌로35길 121 1/2층,월~금 10:00 ~ 19:00,02-6348-2460,67,29건
해성식당,삼겹살,3.7,서울 강서구 까치산로 193-13 1층,매일 11:30 ~ 23:30 · 브레이크타임 매일 15:00 ~ 17:00,02-6052-3392,58,9건
어리랑 발산점,회,4.6,서울 강서구 강서로 330 동아빌딩 1층 5~6호,화~일 12:30 ~ 24:00,02-3662-6555,16,14건
르뺑블랑,제과/베이커리,4.7,서울 강서구 강서로47가길 33 덕산빌딩 103호,매일 11:00 ~ 20:00,02-6439-0155,48,9건
인기명 마곡점,조개,2.8,서울 강서구 마곡동 784-11 오드카운티1차오피스텔 1층 114호,매일 11:30 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00,02-6403-0125,207,9건
상생삼겹살,삼겹살,4.7,서울 강서구 마곡중앙로 161-8 두산더랜드파크 B동 1층 113/ 114호,월~금 11:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:00,02-6989-9191,77,56건
호우양꼬치 마곡점,양꼬치,4.1,서울 강서구 마곡중앙6로 93 열린프라자 2층,영업시간 매일 15:00 ~ 03:00,02-2668-7188,72,17건
이춘복참치 발산역점,참치회,2.1,서울 강서구 공항대로 287 화인빌딩 1층,월~토 11:00 ~ 01:00,02-3662-4558,43,41건
