식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
옥돌집,갈비,3.3,서울 관악구 관악로 208,매일 00:00 ~ 24:00,02-877-6205,12,7건
쟝블랑제리,제과/베이커리,3.8,서울 관악구 낙성대역길 8,매일 07:20 ~ 22:00,02-889-5170,636,268건
월화고기 보라매직영점,육류/고기,4.2,서울 관악구 보라매로3길 16,영업시간 월~금 16:00 ~ 22:30,02-888-7592,216,108건
원조민속순대타운,순대,3.2,서울 관악구 신림로59길 14,,02-876-7727,171,32건
강강술래 신림점,육류/고기,2.3,서울 관악구 남부순환로 1660,매일 11:00 ~ 24:00,02-886-9233,108,38건
디자이너리카페,카페,3.7,서울 관악구 관천로 71-1 4층,월~금 09:30 ~ 23:00,02-868-7112,196,39건
은행골 본점신관,초밥/롤,3.2,서울 관악구 조원로 10-1 1층,월~금 12:00 ~ 23:00,02-859-4988,254,100건
텐동요츠야,일식,3.8,서울 관악구 관악로14길 35 1층,화~일 12:00 ~ 21:00 · 브레이크타임 화~일 14:30 ~ 17:00,,626,281건
온정돈까스,돈까스/우동,2.2,서울 관악구 조원로 60 1층,매일 11:00 ~ 19:50,02-3281-3330,219,71건
오목눈이,디저트카페,4.1,서울 관악구 장군봉1길 32 2층,매일 12:00 ~ 21:00,02-876-1245,319,64건
정담은보쌈 신림점,족발/보쌈,4.3,서울 관악구 남부순환로 1661,매일 11:30 ~ 22:30,02-888-8401,119,55건
오월의김밥,분식,4.3,서울 관악구 봉천로 605,화~금 07:00 ~ 19:00,02-876-7792,285,111건
복돈이부추삼겹살 사당본점,삼겹살,2.4,서울 관악구 남현1길 68-14 1/ 2층,매일 12:00 ~ 02:00,02-582-5124,284,97건
킷사서울,일식,2.9,서울 관악구 남부순환로226길 31 2층,화요일,02-878-7444,528,75건
논밭골 봉천점,갈비,3.1,서울 관악구 청룡길 30,,02-875-6493,63,39건
막불감동 신림본점,냉면,3.7,서울 관악구 남부순환로 1599 지하1층,매일 11:00 ~ 22:00,02-883-2110,88,42건
아리차이 신림점,중화요리,3.8,서울 관악구 신림동길 4 1층,월~토 11:00 ~ 22:30,02-877-1272,41,65건
