식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
온고을,한식,3.2,서울 노원구 동일로 1065,,02-975-8200,8,5건
라라브레드 공릉점,디저트카페,3.8,서울 노원구 공릉로41길 32,매일 10:00 ~ 22:00,1800-2790,362,67건
경복식당,한식,4.7,서울 노원구 공릉로39길 10,화~일 10:00 ~ 20:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-949-7331,131,109건
감동식당,갈비,4.5,서울 노원구 한글비석로47길 58 1층,화~일 12:00 ~ 22:00 · 브레이크타임 화~일 15:30 ~ 17:00,070-7543-4481,174,46건
강강술래 상계점,육류/고기,3.3,서울 노원구 동일로 1628 5층,매일 11:00 ~ 22:00,02-935-9233,121,37건
로니로티 노원점,양식,4.0,서울 노원구 상계로 63-7 청우빌딩 2층 201호,매일 11:30 ~ 22:30,02-3391-7999,209,28건
공릉본점닭한마리 본점,닭요리,3.9,서울 노원구 동일로 1020,매일 11:30 ~ 22:50,02-972-7459,80,46건
크래버대게나라 노원점,게/대게,4.2,서울 노원구 한글비석로 326 1층,매일 11:30 ~ 23:00,02-931-2338,212,86건
신가네칼국수 노원본점,한식,4.4,서울 노원구 공릉로59나길 78-14 1층,매일 08:30 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00,02-948-9956,154,49건
제일콩집,두부전문점,3.5,서울 노원구 동일로174길 37-8,매일 09:00 ~ 21:00,02-972-7016,81,50건
감각,카페,3.1,서울 노원구 상계로 77 1층,매일 11:00 ~ 23:00,070-7576-4177,193,20건
쪼매매운떡볶이 공릉점,떡볶이,4.5,서울 노원구 공릉로 208,월/화/수/목/금/일 11:00 ~ 22:00,02-977-1120,120,80건
에그머니,양식,4.4,서울 노원구 화랑로 421,화~일 11:30 ~ 20:30 · 브레이크타임 화~일 15:00 ~ 17:00,02-977-2999,159,36건
어글리스토브 노원역점,양식,3.8,서울 노원구 노해로81길 12-21 3층,매일 10:30 ~ 21:30,02-935-8459,152,31건
시드누아 노원본점,커피전문점,2.6,서울 노원구 상계로 84,매일 08:30 ~ 02:00,02-938-9559,169,52건
소문난멸치국수,국수,3.3,서울 노원구 동일로173가길 81,월~토 08:30 ~ 06:00,02-973-4337,85,48건
수락이오냉면 본점,냉면,3.2,서울 노원구 동일로237다길 7 1층,화~일 11:00 ~ 20:30,02-935-2515,55,22건
털보고된이 본점,해물/생선,4.0,서울 노원구 노해로81길 22-22,매일 11:00 ~ 22:00,02-932-8616,106,54건
왕십리조개창고 노원점,조개,2.9,서울 노원구 상계로1길 38-11 우창프라자 2층 201호,영업시간 월~금 17:00 ~ 24:00,010-3942-3533,139,25건
연어시장,회,4.4,서울 노원구 석계로 13,영업시간 월~금 14:00 ~ 00:30,02-910-9540,74,38건
경회루,한정식,3.8,서울 노원구 동일로 1005 지하1층,매일 11:00 ~ 22:00,02-972-2774,49,14건
삼덕식당,육류/고기,3.8,서울 노원구 상계로5길 9 1층,매일 11:00 ~ 02:00,02-932-1013,100,14건
숟가락반상 마실 노원점,한식,4.2,서울 노원구 노원로 412,매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-930-5111,42,65건
소담촌 노원역점,샤브샤브,2.9,서울 노원구 상계로 90 마블러스1 2층,매일 11:00 ~ 22:00,02-933-5522,50,13건
용순가재골수제비,수제비,2.6,서울 노원구 동일로242길 100 1층,매일 11:00 ~ 22:00,02-939-6778,156,42건
땅코참숯구이 노원점,육류/고기,4.5,서울 노원구 노해로85길 15-5,영업시간 화~일 15:30 ~ 22:00,02-931-2856,105,16건
기찻길풍경야채곱창,곱창/막창,3.1,서울 노원구 공릉로39길 21 1층,영업시간 월~토 14:00 ~ 23:00,02-978-8596,144,28건
풍미연,설렁탕,2.8,서울 노원구 노해로85길 7,매일 00:00 ~ 24:00,02-936-2315,50,16건
스시웨이 노원점,초밥/롤,3.0,서울 노원구 동일로 1374,매일 11:30 ~ 22:30 · 브레이크타임 월~금 15:30 ~ 17:00,02-935-3774,61,18건
72420 노원직영점,베트남음식,4.3,서울 노원구 동일로217가길 11 1층,매일 11:30 ~ 21:30,02-937-2420,69,31건
원조이모네연탄불곱창,곱창/막창,2.3,서울 노원구 동일로192길 46,영업시간 월~토 18:00 ~ 03:00,02-973-4658,63,42건
해품장 팔팔장어 본점,장어,4.4,서울 노원구 노원로 192,매일 11:30 ~ 22:00,02-977-8892,60,9건
스시노칸도 노원역점,초밥/롤,2.8,서울 노원구 상계로3길 28 영빈빌딩 4층,영업시간 월~금 17:00 ~ 02:00,02-930-9281,186,25건
상상과자점,디저트카페,3.9,서울 노원구 동일로186길 77-7,화~일 11:00 ~ 23:00,02-977-8838,94,25건
무명칼국수,국수,4.3,서울 노원구 석계로7길 4,매일 11:30 ~ 21:00,02-941-7776,71,28건
제형면옥 하계점,냉면,2.9,서울 노원구 공릉로65길 16,매일 10:00 ~ 22:00,02-978-8088,25,36건
돈까스먹는용만이,돈까스/우동,3.6,서울 노원구 한글비석로20길 52,화~일 10:30 ~ 20:00,02-931-8870,123,34건
아소코 공릉점,일식집,3.3,서울 노원구 동일로184길 53 1층,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-6052-1003,54,30건
우리집곱창 본점,곱창/막창,4.1,서울 노원구 덕릉로123길 11,영업시간 월~금 16:00 ~ 22:30,02-936-6091,75,13건
핏짜굽는언니 공릉점,피자,3.1,서울 노원구 동일로198길 58 1층,월~토 11:00 ~ 22:00,02-979-0234,59,32건
이춘복참치 노원직영점,참치회,2.4,서울 노원구 노해로85길 10-7,영업시간 월~금 16:00 ~ 02:00,02-951-4558,36,18건
수시로스시,초밥/롤,3.4,서울 노원구 노원로 479 대광빌딩 1층,매일 11:30 ~ 23:00 · 브레이크타임 월~목 15:00 ~ 16:30,02-932-0725,98,19건
던모스,카페,2.7,서울 노원구 공릉로27길 8 1층,매일 12:00 ~ 22:00,0507-1307-0804,133,26건
참만나,갈비,4.3,서울 노원구 화랑로 443 디벨리움 3층,매일 11:30 ~ 22:00,02-974-1500,22,8건
위안바오,중식,3.8,서울 노원구 동일로 1426,화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,070-7723-9219,110,35건
풍성진감자탕,감자탕,4.7,서울 노원구 노해로83길 10-11,매일 00:00 ~ 24:00,02-937-3732,27,20건
