식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
메이다이닝,양식,3.4,서울 도봉구 도봉로169길 202,매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-955-7722,106,25건
하누소 창동본점,한식,2.1,서울 도봉구 노해로 327 5층,매일 11:00 ~ 22:00,02-900-9800,63,45건
도봉관,디저트카페,3.7,서울 도봉구 노해로 261 1층,매일 11:00 ~ 21:00,02-991-1231,135,41건
쌍문동판다쓰,중화요리,4.2,서울 도봉구 우이천로24길 49 1층,화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-6052-1578,95,41건
대문,한정식,3.3,서울 도봉구 시루봉로 139-6,매일 10:00 ~ 24:00,02-956-0843,19,12건
동적불고기 쌍문점,육류/고기,4.5,서울 도봉구 도봉로109길 30 1층,,02-906-9732,27,72건
무수옥,육류/고기,3.5,서울 도봉구 도봉로165길 15,월~토 10:00 ~ 22:00,02-954-6292,76,36건
옹기꽃게장,게/대게,3.2,서울 도봉구 도봉산4가길 14-9 1층,매일 11:00 ~ 21:00,02-3493-8201,122,26건
스시혼 창동점,초밥/롤,3.2,서울 도봉구 도봉로110길 8,화~일 11:30 ~ 22:00 · 브레이크타임 화~일 14:30 ~ 16:00,02-993-3290,76,45건
삼오집,곱창/막창,3.2,서울 도봉구 도봉로165길 4,매일 12:00 ~ 23:30,02-954-1916,73,26건
마쯔무라돈까스 본점,돈까스/우동,4.3,서울 도봉구 노해로63길 84 지하1층,,02-991-9801,121,96건
황금정원,쌈밥,3.1,서울 도봉구 방학로 312,매일 11:00 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00,02-954-8881,60,11건
동해수산,회,3.8,서울 도봉구 도봉로 663-8,매일 11:00 ~ 22:00,02-3491-8500,29,12건
호호분식,분식,4.1,서울 도봉구 도봉로121길 32,월~금 12:00 ~ 22:00,02-900-1377,103,17건
방학사거리짬뽕집 본점,중식,2.8,서울 도봉구 방학로 99-16,월~토 09:00 ~ 24:00,02-955-6558,14,20건
수정궁,중화요리,3.7,서울 도봉구 방학로 173,영업시간 월~금 17:00 ~ 01:00,02-3491-0440,27,25건
글림 쌍문점,제과/베이커리,3.8,서울 도봉구 도봉로118길 6-8,매일 10:00 ~ 22:00,02-6015-8515,76,9건
착한전복 창동점,굴/전복,3.0,서울 도봉구 해등로 139 상가 1층,매일 11:30 ~ 21:30,02-903-4455,12,18건
사이코우스시 쌍문점,초밥/롤,3.0,서울 도봉구 방학로7길 99,매일 11:00 ~ 22:30,02-999-4298,52,41건
신화푸드빌리지 서울창동점,한식,3.7,서울 도봉구 도봉로 526 2층,,02-3297-3770,36,11건
묵은지사랑,한식,4.5,서울 도봉구 도봉로164길 38,,02-954-5264,26,13건
도봉산양고기,육류/고기,2.6,서울 도봉구 도봉로191길 99-6,매일 12:00 ~ 22:00,02-3492-3324,62,14건
코노하,일식집,4.4,서울 도봉구 우이천로20길 7 건영아파트 상가 103동 1층 118호,월~토 11:30 ~ 15:00,,55,40건
꿀소담,카페,3.1,서울 도봉구 해등로16길 67 1/2층,매일 08:30 ~ 24:00,,42,22건
소도둑 도봉동점,고기뷔페,3.6,서울 도봉구 도봉로 909 1층,매일 12:00 ~ 24:00,02-955-8882,91,8건
구월십일,돈까스/우동,4.0,서울 도봉구 도봉로112길 26,화~일 11:30 ~ 21:00 · 브레이크타임 화~금 15:00 ~ 17:00,02-995-0910,89,24건
써이포차나 본점,태국음식,4.5,서울 도봉구 도봉로169나길 42 1층,월~토 11:30 ~ 24:00 · 브레이크타임 월~토 15:00 ~ 18:00,02-6052-6180,43,37건
은행골 도봉점,초밥/롤,3.6,서울 도봉구 마들로 684,매일 11:00 ~ 23:00,02-955-4988,13,16건
인디언소울2,육류/고기,3.6,서울 도봉구 도봉산길 12-10,,02-955-3977,28,5건
도레미즉석떡볶이,떡볶이,3.9,서울 도봉구 삼양로144길 18,매일 10:00 ~ 21:00,02-905-6652,41,17건
삿뽀로 창동점,일식집,2.5,서울 도봉구 도봉로 610 2층,매일 11:30 ~ 22:00,02-991-6777,27,13건
