식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
동래복국 동대문점,복어,3.1,서울 종로구 종로 291,매일 09:00 ~ 23:00,02-741-4705,79,11건
에베레스트 커리월드레스토랑,인도음식,4.3,서울 종로구 종로 305 2층,매일 11:00 ~ 22:00,02-743-8848(팩스),45,25건
어머니대성집,해장국,3.4,서울 동대문구 왕산로11길 4,화~토 05:00 ~ 22:00,02-923-1718,220,113건
나정순할매쭈꾸미,해물/생선,4.0,서울 동대문구 무학로 144,월~토 11:30 ~ 22:30 · 브레이크타임 월~토 14:30 ~ 17:00,02-928-0231,467,159건
은하곱창,곱창/막창,3.7,서울 동대문구 전농로15길 22,,02-2247-0254,345,67건
육전식당 본점,육류/고기,3.9,서울 동대문구 난계로30길 16,매일 11:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 16:00,02-2253-6373,208,132건
성천막국수,국수,4.0,서울 동대문구 답십리로48나길 2 1층,월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-2244-5529,90,73건
서울뼈구이매운족발,족발/보쌈,3.3,서울 동대문구 왕산로 274-1,매일 12:00 ~ 23:00,02-965-5838,206,32건
영화장,중화요리,3.2,서울 동대문구 휘경로 3-8,월~금 11:00 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 17:00,02-967-9595,116,82건
일미간장게장 본점,게/대게,2.6,서울 동대문구 장한로24길 7,매일 00:00 ~ 24:00,02-2242-4338,84,43건
킹수제만두,분식,4.0,서울 동대문구 한빛로 3 1층,화~토 10:00 ~ 21:00,02-926-0288,169,90건
할머니냉면,냉면,3.5,서울 동대문구 왕산로37길 51,매일 10:00 ~ 21:30,02-963-5362,173,64건
원조홍릉각,중화요리,3.2,서울 동대문구 약령시로 90,화요일,02-969-7787,70,41건
