식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
전주전집,한식,3.1,서울 동작구 동작대로7길 19,영업시간 월~토 15:30 ~ 02:00,02-581-1419,226,108건
서일순대국,순대,3.5,서울 동작구 여의대방로24길 10-4,매일 08:00 ~ 23:00,02-821-3468,176,124건
시간을들이다,제과/베이커리,4.3,서울 동작구 국사봉5길 4 1층,매일 11:00 ~ 22:00,02-812-2158,115,49건
등나무집,육류/고기,3.6,서울 동작구 대림로 52,매일 11:00 ~ 22:00,02-843-8989,111,36건
스시로로,초밥/롤,3.7,서울 동작구 동작대로23길 29,화~일 11:30 ~ 23:00,02-585-1015,160,100건
상남스시,초밥/롤,4.2,서울 동작구 여의대방로24길 64 1층,월~토 12:00 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-822-3455,133,39건
방배김밥,분식,3.2,서울 동작구 동작대로27길 59-16,화~토 06:00 ~ 18:00,02-599-0566,47,49건
광안리,해물/생선,3.2,서울 동작구 동작대로7길 5 1층,영업시간 매일 17:30 ~ 02:00,0507-102-4824,162,37건
닥터로빈 흑석점,양식,4.2,서울 동작구 현충로 124 뉴지엄 1층,매일 11:00 ~ 22:00,02-3280-3103,56,36건
다독이네숯불구이,육류/고기,4.7,서울 동작구 노량진로 106-5 1층,영업시간 월~토 16:00 ~ 22:00,02-6101-9299,123,56건
다래식당,한식,3.1,서울 동작구 만양로2길 2,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:30,02-812-4156,78,34건
카페퍼블리코 본점,카페,3.7,서울 동작구 상도로 47 헬로우빌딩 1/2층,매일 11:00 ~ 21:00,02-815-4000,63,20건
페니힐스,커피전문점,3.8,서울 동작구 동작대로1길 10-14 1층,매일 12:00 ~ 21:00,,107,36건
대성관,중화요리,2.8,서울 동작구 여의대방로 204-1 1층,매일 11:00 ~ 21:00,02-815-0567,92,44건
가마솥손두부,두부전문점,4.2,서울 동작구 남부순환로271길 20,매일 11:50 ~ 22:00,02-3472-2202,42,52건
초와밥,일식집,4.0,서울 동작구 동작대로5길 8,월~토 11:30 ~ 22:30 · 브레이크타임 월~금 14:30 ~ 16:30,02-523-5937,143,61건
신온누리에 생돈까스전문점 대방점,돈까스/우동,1.7,서울 동작구 여의대방로24길 107,매일 10:30 ~ 21:00,02-823-8589,82,56건
노량해전,회,3.8,서울 동작구 만양로16길 4 1층,영업시간 매일 15:00 ~ 06:00,070-4300-5551,62,35건
세녹,카페,2.7,서울 동작구 사당로 304,매일 00:00 ~ 24:00,02-597-8001,130,39건
소담촌 사당직영점,샤브샤브,4.2,서울 동작구 동작대로 43 5층,매일 11:00 ~ 22:00,02-522-0653,54,24건
원조부안집 이수점,육류/고기,2.7,서울 동작구 동작대로27가길 39,영업시간 매일 16:00 ~ 02:00,02-535-1619,351,14건
요란한부엌,퓨전요리,3.3,서울 동작구 사당로30길 126,영업시간 월~토 17:00 ~ 01:00,02-582-6011,181,51건
라시에스타,이탈리안,2.8,서울 동작구 동작대로 21 양지빌딩 6층,매일 11:30 ~ 22:30,02-587-9087,139,30건
조가네갑오징어 사당직영3호점,해물/생선,3.2,서울 동작구 남부순환로271길 24,매일 10:00 ~ 22:00,02-3472-0108,112,25건
오징어야,한식,4.1,서울 동작구 만양로14길 9,매일 11:00 ~ 01:00,02-824-3880,89,30건
운봉산장,육류/고기,4.4,서울 동작구 장승배기로 118-1,영업시간 월~토 17:00 ~ 21:40,02-815-2850,60,29건
렁트멍,제과/베이커리,4.2,서울 동작구 장승배기로 26 아이파크상가 102호,월~금 11:00 ~ 19:00,02-825-0404,75,21건
모스키친,돈까스/우동,4.3,서울 동작구 보라매로 91 1층,월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-6497-3529,95,66건
기꾸참치,참치회,4.6,서울 동작구 남부순환로271길 14 2층,영업시간 매일 14:00 ~ 22:30,02-3486-3737,55,21건
미스피츠,햄버거,4.4,서울 동작구 동작대로3길 30 1층,화~금 11:30 ~ 22:00 · 브레이크타임 화~금 14:30 ~ 17:00,02-525-4806,63,62건
뚜스뚜스 흑석역점,카페,3.3,서울 동작구 현충로 75 1층,매일 08:00 ~ 24:00,02-3664-9000,61,23건
해물포차꼴통 1호점,실내포장마차,2.9,서울 동작구 장승배기로 126,영업시간 매일 18:00 ~ 03:00,070-8614-8121,75,16건
골든볼9 본점,뷔페,3.4,서울 동작구 노량진로14가길 11 지하1/2층,,02-826-7542,16,42건
라화방 이수역점,중화요리,4.2,서울 동작구 동작대로27길 22 2층,매일 11:00 ~ 23:00,02-536-6490,61,27건
시래불고기 화풍정,불고기/두루치기,3.8,서울 동작구 상도로 102,매일 11:00 ~ 23:00,02-814-3392,64,21건
와우신내떡 노량진점,떡볶이,4.4,서울 동작구 만양로14가길 3,화~일 12:00 ~ 20:30,02-2631-8484,86,52건
마마부찌,찌개/전골,4.5,서울 동작구 만양로14길 40,매일 10:30 ~ 22:00,02-817-1123,39,43건
즉석손바지락칼국수,국수,4.5,서울 동작구 상도로 77 1층,,02-817-9686,76,52건
머치커피,카페,4.5,서울 동작구 동작대로9길 43 1층,화~일 12:00 ~ 21:00,0507-1320-2726,98,20건
사이공리,베트남음식,3.3,서울 동작구 장승배기로 105 1층,월~토 11:00 ~ 21:00,02-822-1763,110,57건
쿠우쿠우 보라매공원점,해산물뷔페,2.9,서울 동작구 보라매로5가길 16 보라매아카데미타워 7층,매일 11:00 ~ 22:00,02-835-6274,107,64건
이든돈카츠,돈까스/우동,4.2,서울 동작구 만양로14다길 3,화~일 11:00 ~ 19:30,02-812-6698,75,80건
팔팔낙지,해물/생선,3.3,서울 동작구 만양로18길 11,,02-812-8288,35,12건
사리원,한식,2.9,서울 동작구 상도로50길 2-15,매일 11:00 ~ 21:00,02-814-6022,39,37건
호우양꼬치 이수점,양꼬치,4.4,서울 동작구 동작대로27다길 9,영업시간 매일 15:00 ~ 03:00,010-7299-6697,85,16건
100족발,족발/보쌈,4.5,서울 동작구 사당로30길 154,화~일 12:00 ~ 24:00,02-522-9293,89,75건
방배양곱창,곱창/막창,3.6,서울 동작구 동작대로23길 27,영업시간 월~금 16:00 ~ 24:00,02-6406-0079,95,11건
카페모펀,카페,4.5,서울 동작구 동작대로3길 6,,070-4236-9371,14,4건
호요,일본식주점,3.8,서울 동작구 동작대로13길 6-7 1층,영업시간 매일 17:00 ~ 02:00,02-6409-0809,104,16건
오센,일본식주점,3.7,서울 동작구 동작대로27나길 8,영업시간 매일 16:00 ~ 22:00,02-3478-1559,82,27건
유정우함흥냉면,냉면,4.2,서울 동작구 동작대로29다길 7-1,매일 11:00 ~ 20:00,02-3478-0105,38,33건
영빈관,중화요리,4.6,서울 동작구 장승배기로19길 21 1층,화요일,02-813-3088,32,36건
사당양꼬치,양꼬치,3.6,서울 동작구 사당로30길 163,매일 12:00 ~ 01:00,02-588-8188,90,15건
상도실내포장마차,실내포장마차,3.9,서울 동작구 상도로 288,,02-821-3825,53,17건
펠어커피 상도점,카페,4.1,서울 동작구 상도로41가길 12 1층,화~토 10:00 ~ 21:00,070-8879-8585,79,13건
사당모소리,육류/고기,4.1,서울 동작구 사당로 243-5 1층,,070-7543-8335,104,21건
이수회관,해물/생선,2.4,서울 동작구 동작대로27가길 40,영업시간 매일 16:30 ~ 02:00,02-534-3335,103,17건
브레드덕,제과/베이커리,4.1,서울 동작구 상도동 529 두산위브1차 120동 102-1호,월~토 09:00 ~ 20:00,070-8827-0008,34,20건
남해안활어,회,5.0,서울 동작구 사당로30길 157,매일 11:00 ~ 01:00,02-522-2069,12,1건
디피스트,커피전문점,4.7,서울 동작구 동작대로27길 31 2층,월/화/수/금/토/일 11:00 ~ 23:00,02-536-6234,95,22건
빕스 대방점,패밀리레스토랑,2.7,서울 동작구 노량진로 2,매일 10:30 ~ 20:30,02-3280-1997,51,27건
골든볼9 메가스터디타워점,뷔페,2.2,서울 동작구 노량진로 140 메가스터디타워 1층 106호,월~토 06:30 ~ 20:00 · 브레이크타임1 월~토 09:30 ~ 11:00 · 브레이크타임2 월~토 14:30 ~ 17:00,02-825-7542,19,14건
아웃백스테이크하우스 신대방점,패밀리레스토랑,4.2,서울 동작구 보라매로5가길 16 보라매아카데미타워 2층,매일 11:00 ~ 22:00,02-821-0671,56,22건
수목식당,한식,3.3,서울 동작구 서달로14나길 28,월~토 10:00 ~ 20:30,02-816-3556,174,24건
정작가의막걸리집,호프/요리주점,4.0,서울 동작구 동작대로33가길 5 1층,,,48,21건
72420 사당본점,베트남음식,4.3,서울 동작구 동작대로1길 50 1층,매일 11:30 ~ 22:00,02-588-2420,140,25건
닭발집,닭요리,3.9,서울 동작구 장승배기로 123-1,월~토 12:00 ~ 03:00,010-9944-6637,149,26건
상도곱창,곱창/막창,3.4,서울 동작구 상도로 357,영업시간 화~토 15:00 ~ 24:00,02-821-3802,49,36건
크라이치즈버거 숭실대점,햄버거,4.5,서울 동작구 상도로61길 28 1층,매일 11:00 ~ 21:30,02-3280-6244,25,25건
가네끼스시,초밥/롤,4.0,서울 동작구 보라매로5가길 16 보라매아카데미타워 2층,월~토 12:00 ~ 21:30,02-831-3472,104,22건
팔팔해물탕,매운탕/해물탕,4.3,서울 동작구 여의대방로22길 14-3,월~토 11:30 ~ 22:30,02-817-2789,33,18건
스톤504,양식,4.1,서울 동작구 상도로61길 54,매일 11:00 ~ 24:00,02-6401-0504,103,12건
파니모들,카페,4.3,서울 동작구 동작대로 153,월/화/목/금 08:00 ~ 22:30,070-7607-8252,122,21건
브레드숨,제과/베이커리,3.9,서울 동작구 노량진로18길 37,월~토 10:00 ~ 20:00,070-8861-0007,30,21건
상도늘보리 본점,해물/생선,4.3,서울 동작구 상도로26길 19,매일 11:30 ~ 23:00,02-3280-6550,20,9건
미소네,회,3.9,서울 동작구 동작대로7길 32,,02-587-7191,41,21건
천하무족,족발/보쌈,4.3,서울 동작구 동작대로7길 74,월~토 13:00 ~ 24:00,02-595-3308,68,8건
쟝블랑제리 이수직영점,제과/베이커리,3.0,서울 동작구 동작대로23길 8 1/ 2층,매일 10:00 ~ 21:00,02-6949-5170,84,23건
어촌생선구이,한식,3.9,서울 동작구 상도로 122,매일 11:00 ~ 22:00 · 브레이크타임 매일 15:30 ~ 16:30,02-815-4715,18,30건
오감만족,실내포장마차,4.1,서울 동작구 장승배기로23길 1,영업시간 월~토 18:00 ~ 03:00,02-822-5697,44,11건
신도세기 보라매점,육류/고기,3.4,서울 동작구 보라매로5길 43 보라매삼성쉐르빌 112호,매일 11:00 ~ 22:00,02-842-7755,93,10건
정애맛담,떡/한과,2.3,서울 동작구 동작대로29나길 10 1층,매일 06:00 ~ 19:30,02-592-9096,47,9건
훈장골 사당점,갈비,3.6,서울 동작구 동작대로 7 신광빌딩 지하1층,매일 11:00 ~ 22:00,,103,8건
신사펍 이수점,호프/요리주점,4.4,서울 동작구 동작대로 129 4층,영업시간 매일 17:00 ~ 02:00,,79,22건
신짱스시,일식,3.6,서울 동작구 상도로30길 8 2층,화~토 11:30 ~ 22:00 · 브레이크타임 화~토 15:00 ~ 17:00,02-3280-8301,52,26건
