식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
공덕삼교비,삼겹살,4.1,서울 마포구 만리재로 3 1/ 2층,,0507-1349-3343,38,8건
왕가밀 왕가본점,육류/고기,4.2,서울 마포구 도화길 24-1,매일 00:00 ~ 24:00,02-702-7787,10,35건
어반플랜트,디저트카페,4.2,서울 마포구 독막로4길 3 1/2층,매일 10:00 ~ 22:00,070-4192-0378,585,182건
프릳츠 도화점,디저트카페,3.8,서울 마포구 새창로2길 17,월~금 08:00 ~ 22:00,02-3275-2045,777,224건
크레이지카츠,돈까스/우동,3.9,서울 마포구 포은로2나길 44,매일 11:20 ~ 21:00 · 브레이크타임 매일 15:00 ~ 18:00,070-8621-7219,410,241건
을밀대 본점,냉면,4.0,서울 마포구 숭문길 24,매일 11:00 ~ 22:00,02-717-1922,513,284건
소금집델리 망원,양식,3.9,서울 마포구 월드컵로19길 14 2층,화~일 11:00 ~ 21:50,02-336-2617,690,231건
피오니 홍대점,카페,3.8,서울 마포구 독막로7길 51 1층,영업시간 매일 12:00 ~ 21:00,02-333-5325,351,136건
어글리베이커리,제과/베이커리,3.1,서울 마포구 월드컵로13길 73,월/화요일,02-338-2018,557,168건
미쁘동,일식,3.8,서울 마포구 동교로38길 33-21 2층,월/화/수/목/일 11:00 ~ 22:00,070-4242-1881,448,134건
땡스오트 연남점,디저트카페,4.2,서울 마포구 성미산로23길 68,매일 11:00 ~ 21:00,02-3144-0890,587,79건
소이연남,동남아음식,3.9,서울 마포구 동교로 267,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-323-5130,586,218건
연남토마 본점,퓨전일식,3.6,서울 마포구 월드컵북로6길 61,영업시간 매일 11:30 ~ 22:00,02-332-8064,298,85건
오레노라멘 합정본점,일본식라면,4.3,서울 마포구 독막로6길 14,영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,,363,296건
카와카츠,돈까스/우동,3.8,서울 마포구 동교로 126 1층 102호,영업시간 월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:30,070-8801-2053,243,146건
최강금돈까스,돈까스/우동,4.1,서울 마포구 월드컵로3길 31-30,영업시간 매일 11:30 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-332-3646,387,175건
비파티세리 공덕점,카페,4.1,서울 마포구 마포대로14길 4 1층,매일 10:00 ~ 22:00,02-702-1220,266,74건
역전회관,불고기/두루치기,3.2,서울 마포구 토정로37길 47,월~금 11:00 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 17:00,02-703-0019,129,100건
몽중헌 공덕점,중화요리,3.7,서울 마포구 마포대로 92 공덕해링턴 스퀘어 A동 2층,영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,02-2197-1881,118,42건
스케줄 합정,양식,3.9,서울 마포구 양화로6길 33 1층,매일 11:00 ~ 22:00,02-322-2622,249,32건
레이어드 연남점,디저트카페,2.7,서울 마포구 성미산로 161-4,매일 11:00 ~ 23:00,,770,126건
경기떡집,떡/한과,3.8,서울 마포구 동교로9길 24,월~금 07:00 ~ 18:30,02-333-8880,114,62건
진미식당,게/대게,3.7,서울 마포구 마포대로 186-6,영업시간 월~토 12:00 ~ 20:00 · 브레이크타임 월~토 15:30 ~ 17:00,02-3211-4468,139,112건
망원동즉석우동전문돈까스 본점,돈까스/우동,3.8,서울 마포구 동교로 83,월~토 11:00 ~ 23:00,02-336-1330,338,141건
우와 1호점,철판요리,3.6,서울 마포구 와우산로21길 21-16 202호,영업시간 매일 12:00 ~ 22:00 · 브레이크타임 매일 14:30 ~ 17:00,070-7778-9500,126,75건
연남서식당,갈비,3.6,서울 마포구 백범로2길 32,영업시간 매일 12:00 ~ 20:00,02-716-2520,122,69건
앤트러사이트 서교점,카페,3.5,서울 마포구 월드컵로12길 11,매일 09:00 ~ 22:00,02-336-7650,293,135건
평이담백뼈칼국수,국수,3.2,서울 마포구 양화로7길 84,영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-336-3454,461,44건
감성타코 홍대점,멕시칸/브라질,3.1,서울 마포구 와우산로21길 20-11 2층,영업시간 월~금 11:30 ~ 22:00 · 브레이크타임 월~금 16:00 ~ 17:00,02-337-8883,139,76건
바다회사랑,회,3.2,서울 마포구 동교로27길 60,영업시간 매일 14:30 ~ 23:00,02-338-0872,305,123건
