식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
사조미가,한정식,3.6,서울 서대문구 통일로 107-39 사조빌딩 2층,매일 11:30 ~ 22:00,02-362-1806,16,39건
더풍년,호프/요리주점,3.8,서울 서대문구 독립문로 31-11,영업시간 월~토 17:00 ~ 01:00,010-9893-5069,116,24건
장호왕곱창 본점,곱창/막창,0.0,서울 서대문구 통일로 107-13,,02-392-5070,3,0건
목란,중식,3.1,서울 서대문구 연희로15길 21,영업시간 화~일 12:00 ~ 21:00,02-732-0054,563,133건
만동제과,제과/베이커리,4.3,서울 서대문구 연희로 32,매일 00:00 ~ 24:00,02-6489-2334,621,148건
카덴 연희본점,일식,3.3,서울 서대문구 연희로 173 거화빌딩 1층,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 17:30,02-3142-6362,177,93건
신촌형제갈비,갈비,2.5,서울 서대문구 명물1길 2,매일 11:00 ~ 22:00,02-365-0001,84,93건
한옥집김치찜 서대문본점,한식,2.8,서울 서대문구 통일로9길 12 1층,매일 10:30 ~ 21:30,02-362-8653,178,146건
콘하스 연희점,카페,2.5,서울 서대문구 연희로27길 99,월~토 10:00 ~ 23:00,02-325-0792,273,93건
피터팬1978 본점,제과/베이커리,4.1,서울 서대문구 증가로 10 연궁빌딩 1층,매일 08:00 ~ 21:00,02-336-4775,95,80건
앤트러사이트 연희점,커피전문점,3.5,서울 서대문구 연희로 135,매일 09:00 ~ 22:00,02-332-7650,202,88건
철길떡볶이,떡볶이,2.5,서울 서대문구 충정로 35-6,월/화/수/목/금/일 11:00 ~ 20:00,02-364-3440,184,81건
시오 연희본점,일식집,3.3,서울 서대문구 연희로11가길 23 1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:10,02-3144-6919,97,100건
락희안 명지대본점,중화요리,4.2,서울 서대문구 가재울로4길 53 1/ 2층,화~일 11:30 ~ 21:30 · 브레이크타임 화~금 15:00 ~ 17:00,02-375-7576,122,39건
연희동칼국수 본점,국수,3.1,서울 서대문구 연희맛로 37,화~금 11:00 ~ 21:00,02-333-3955,141,82건
더파이홀,디저트카페,3.9,서울 서대문구 연세로5나길 20,매일 11:00 ~ 23:00,02-334-1181,217,128건
라구식당,이탈리안,3.8,서울 서대문구 연세로 42-24,매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-364-2224,298,115건
정육면체,퓨전요리,3.6,서울 서대문구 연세로5다길 22-8 1층 101호,매일 11:30 ~ 21:00,070-4179-3819,267,112건
부엉이돈가스 신촌점,돈까스/우동,3.9,서울 서대문구 연세로4길 62,영업시간 매일 12:00 ~ 21:00,02-312-1216,51,62건
매뉴팩트커피 연희본점,카페,4.3,서울 서대문구 연희로11길 29 2층,월~토 09:00 ~ 18:00,02-6406-8777,133,83건
원조부안집 서대문점,육류/고기,4.3,서울 서대문구 통일로9안길 22 1층,월~금 11:00 ~ 23:00,02-312-0210,186,8건
가타쯔무리,돈까스/우동,4.2,서울 서대문구 명지대길 72,월~토 11:00 ~ 14:30,,111,65건
고미정,한정식,3.6,서울 서대문구 연희로26길 28,화~일 11:30 ~ 21:30,02-324-0016,114,16건
맛있는집,분식,4.5,서울 서대문구 거북골로20길 55 지하1층,,02-305-1906,80,80건
연경 연희점,중화요리,3.0,서울 서대문구 연희로 145,매일 11:00 ~ 22:00,02-333-6655,180,24건
어머니와아들,한식,4.2,서울 서대문구 홍은중앙로 100-1 1층,화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-391-0411,188,69건
신촌황소곱창 신촌본점,곱창/막창,2.1,서울 서대문구 연세로9길 31 1층,영업시간 매일 15:00 ~ 03:00,02-337-2640,151,88건
또보겠지떡볶이집 신촌히어로점,떡볶이,4.2,서울 서대문구 연세로4길 19 2층,월~금 11:30 ~ 21:00 · 브레이크타임 월~금 14:30 ~ 15:30,,199,84건
수빈,한정식,3.2,서울 서대문구 연희로25길 31-3,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-307-9979,45,26건
