식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
블루보틀 성수 카페,카페,3.1,서울 성동구 아차산로 7,매일 08:00 ~ 20:00,02-6212-6998,1/066,164건
할아버지공장,디저트카페,3.2,서울 성동구 성수이로7가길 9,매일 11:00 ~ 22:30,010-3934-2301,652,117건
제스티살룬,햄버거,4.1,서울 성동구 서울숲2길 19 2층,화~일 11:30 ~ 21:30,02-2205-2622,791,176건
성수다락,양식,3.6,서울 성동구 뚝섬로9길 20 2/3층,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 16:30,02-467-9197,599,68건
제일곱창,곱창/막창,3.8,서울 성동구 고산자로 281 1층,영업시간 월~토 15:00 ~ 22:00,,448,77건
소문난성수감자탕,감자탕,3.1,서울 성동구 연무장길 45,매일 00:00 ~ 24:00,02-465-6580,499,214건
대도식당 왕십리본점,육류/고기,3.1,서울 성동구 무학로12길 3,매일 11:00 ~ 22:00,02-2292-9772,248,88건
할머니의레시피,한식,3.2,서울 성동구 서울숲2길 44-12,화요일,02-467-5101,297,99건
악어떡볶이,떡볶이,3.5,서울 성동구 마조로 33,,02-2281-9988,291,106건
성수명당,호프/요리주점,4.3,서울 성동구 연무장19길 10 1층,영업시간 화~토 17:00 ~ 02:00,070-8833-3227,285,132건
어니언,디저트카페,3.4,서울 성동구 아차산로9길 8,월~금 08:00 ~ 22:00,070-4353-3238,366,169건
성수족발,족발/보쌈,3.2,서울 성동구 아차산로7길 7 1층,매일 12:00 ~ 22:00,02-464-0425,236,143건
쎈느,카페,3.2,서울 성동구 연무장5길 20,매일 09:00 ~ 22:00,,227,34건
온량,이탈리안,3.8,서울 성동구 서울숲4길 26-10 1층,매일 12:00 ~ 21:00,02-6403-3643,442,128건
스시도쿠,초밥/롤,4.1,서울 성동구 왕십리광장로 6,매일 11:30 ~ 21:00 · 브레이크타임 월/화 15:00 ~ 17:00,02-2281-3255,302,302건
대성갈비,갈비,3.1,서울 성동구 서울숲4길 27,월~토 12:00 ~ 21:00 · 브레이크타임 월~토 14:30 ~ 16:30,02-464-3012,215,102건
땅코참숯구이 본점,육류/고기,4.2,서울 성동구 행당로17길 26 1층,영업시간 월~금 16:00 ~ 23:00,02-2281-6908,272,101건
밀도 성수본점,제과/베이커리,3.6,서울 성동구 왕십리로 96 1층,매일 11:00 ~ 21:30,02-497-5050,226,102건
호호식당 성수동점,일식,2.8,서울 성동구 서울숲4길 25,매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-498-2384,230,67건
