식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
버터램,육류/고기,4.3,서울 송파구 충민로 81-9 1층,영업시간 월~금 15:00 ~ 22:00,02-2043-9200,151,54건
청와옥 본점,순대,3.4,서울 송파구 위례성대로 48 반도빌딩 1층 102호,매일 00:00 ~ 24:00,02-416-3456,568,84건
갓잇 송리단길점,양식,4.0,서울 송파구 백제고분로45길 4-14 트리비유 1층,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:30,02-487-9451,405,172건
라라브레드 송파점,디저트카페,3.8,서울 송파구 오금로16길 4,매일 10:00 ~ 22:00,1800-1990,581,133건
다운타우너 잠실,햄버거,4.0,서울 송파구 백제고분로45길 3 1층,매일 11:00 ~ 21:10,0507-1317-3696,734,155건
별미곱창 3호점,곱창/막창,3.9,서울 송파구 오금로11길 14,영업시간 매일 14:00 ~ 02:00,02-413-3610,227,37건
해주냉면,냉면,3.3,서울 송파구 백제고분로7길 8-16 1층,월~토 11:30 ~ 21:00,02-424-7192,294,119건
고도식,육류/고기,3.8,서울 송파구 백제고분로45길 28,영업시간 월~금 16:00 ~ 24:00,02-422-8692,403,77건
몽중헌 방이점,중화요리,4.0,서울 송파구 위례성대로 10 S타워 20/ 21층,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 18:00,02-2202-8004,150,38건
청와옥 석촌호수직영점,순대,3.3,서울 송파구 삼학사로 96,매일 00:00 ~ 24:00,02-422-0550,623,55건
애슐리퀸즈 잠실롯데캐슬점,패밀리레스토랑,2.9,서울 송파구 올림픽로 269 지하1층,매일 11:00 ~ 21:00,02-2146-2235,161,44건
봉피양 방이점 본관,냉면,3.6,서울 송파구 방이동 205,매일 11:30 ~ 22:00,02-415-5527,167,89건
오향가 가락본점,족발/보쌈,4.1,서울 송파구 송이로 106,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-401-6999,216,59건
함경도찹쌀순대,순대,3.7,서울 송파구 송파대로28길 32,매일 00:00 ~ 24:00,02-403-8822,250,105건
이성원쉐프의 청년감자탕순대국 방이동본점,감자탕,3.7,서울 송파구 오금로19길 5,매일 10:00 ~ 22:00,02-3431-9252,461,47건
잠수교집 3호점,삼겹살,3.6,서울 송파구 송파대로49길 51,영업시간 매일 14:00 ~ 23:00,02-419-0434,203,21건
산들해 송파점,한정식,2.9,서울 송파구 위례성대로 6 현대토픽스 2층,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,02-448-3457,45,53건
마싯내,돈까스/우동,4.0,서울 송파구 석촌호수로18길 7 수정빌딩 1층 102호,매일 11:30 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-2202-3979,227,47건
오레노라멘 송파점,일본식라면,4.6,서울 송파구 백제고분로45길 17-3 1층 102호,매일 11:30 ~ 21:00 · 브레이크타임 매일 14:40 ~ 17:00,,238,104건
