식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
락희안 목동점,중화요리,3.9,서울 양천구 오목로 330 2/3층,매일 11:30 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 17:00,02-2652-7576,252,38건
팔각도 목동본점,닭요리,3.6,서울 양천구 목동동로 266-1 금강빌딩 1층,월~금 14:00 ~ 01:00,02-6053-8883,260,27건
일미락 목동본점,육류/고기,3.5,서울 양천구 목동동로 226-16 1층,월~토 12:00 ~ 24:00,02-2642-9292,134,63건
히노야마,돈까스/우동,3.2,서울 양천구 목동서로 349 센트럴프라자 119호,월/화/목/금/토/일 11:30 ~ 21:00 · 브레이크타임2 월/화/목/금 15:00 ~ 17:00,02-2650-8667,94,19건
더 아리엘 목동점,뷔페,3.0,서울 양천구 오목로 300 현대하이페리온2 206동 지하1층 109~115호,화/수요일,02-2655-0770,182,29건
살구나무집칼국수,국수,3.8,서울 양천구 중앙로32길 35,월~토 11:00 ~ 21:00,02-2652-9991,72,35건
젠틀한식탁,이탈리안,3.3,서울 양천구 목동동로14길 6-1 1층,매일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,,151,32건
금화왕돈까스 신월점,돈까스/우동,3.5,서울 양천구 화곡로 91 1층,매일 00:00 ~ 24:00,02-2635-9992,200,44건
먹자대게,게/대게,4.3,서울 양천구 목동서로 213 세신비젼프라자 1층 108호,매일 11:00 ~ 23:00,02-2647-1500,266,142건
대가,갈비,3.5,서울 양천구 신정중앙로 66,매일 00:00 ~ 24:00,02-2605-1667,232,26건
대박곱창 본점,곱창/막창,4.6,서울 양천구 오목로 170 태남프라자 1층,영업시간 월~토 15:00 ~ 01:00,02-2601-8892,54,32건
커피별녹색잔,커피전문점,4.4,서울 양천구 목동로21길 26,화~일 09:00 ~ 23:00,02-2696-3337,82,21건
삿뽀로 목동점,일식집,2.0,서울 양천구 목동동로 189 삼성쉐르빌1 지하1층,매일 11:30 ~ 22:00,02-2644-3366,29,11건
진미집,한식,3.0,서울 양천구 공항대로 646 1층 1호,영업시간 월~토 17:00 ~ 02:30,02-3664-6400,81,21건
닥터로빈 목동점,양식,3.6,서울 양천구 오목로 299,매일 11:00 ~ 22:00,02-2646-3101,107,22건
양천옥설렁탕,설렁탕,4.3,서울 양천구 등촌로 86,매일 00:00 ~ 24:00,02-2654-7788,58,16건
카페제하,카페,4.5,서울 양천구 목동동로 177 삼성쉐르빌2차 1층,매일 10:00 ~ 21:00,,87,17건
항아리보쌈,족발/보쌈,4.1,서울 양천구 신목로 48,매일 11:30 ~ 23:00,02-2696-0053,42,19건
이조면옥 목동본점,냉면,2.2,서울 양천구 신목로 88,매일 11:00 ~ 21:30,02-2654-9530,30,19건
푸주옥,설렁탕,3.7,서울 양천구 남부순환로 663,매일 00:00 ~ 24:00,02-2696-8825,25,26건
밥초,초밥/롤,3.5,서울 양천구 오목로48길 10 1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-2690-4810,71,45건
양천뼈다귀 본점,국밥,3.9,서울 양천구 목동동로 258,매일 00:00 ~ 24:00,02-2642-4334,55,46건
육화식당,육류/고기,4.0,서울 양천구 오목로 337-6 지하1층/ 1/2층,영업시간 월~금 16:00 ~ 02:00,02-2646-6882,168,20건
강릉스낵,실내포장마차,2.8,서울 양천구 목동동로 228-2 1층,매일 11:20 ~ 23:00,02-2643-5556,93,16건
조개천하 목동직영점,조개,4.5,서울 양천구 신정중앙로 68 해풍빌딩 101호,매일 14:00 ~ 02:00,02-2065-2067,21,10건
원두막,한식,2.8,서울 양천구 신목로 56,매일 10:00 ~ 23:00,02-2061-1212,29,21건
할범탕수육 본점,분식,2.4,서울 양천구 목동중앙북로 15,매일 09:30 ~ 21:00,02-2652-0883,59,48건
스시경,초밥/롤,3.6,서울 양천구 목동중앙북로7가길 10,월~토 11:30 ~ 23:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-2062-0677,63,20건
홍마방,중식,3.7,서울 양천구 목동중앙북로14길 1 1층,월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-2646-9316,104,42건
오목집 목동본점,족발/보쌈,4.1,서울 양천구 목동서로 155 목동파라곤 지하상가 45호,매일 11:00 ~ 23:30,02-6737-6692,69,72건
봉피양 신월점,한식,3.1,서울 양천구 신월로 112,매일 11:00 ~ 22:00,02-2608-3141,35,16건
옛날마차,실내포장마차,3.6,서울 양천구 신정중앙로 84,매일 14:00 ~ 05:00,02-2608-6755,56,20건
스시범,초밥/롤,2.9,서울 양천구 은행정로 13 성광빌딩 1층,매일 11:00 ~ 22:30 · 브레이크타임 월~금 15:30 ~ 17:00,02-2062-1770,32,23건
육즙,삼겹살,3.6,서울 양천구 오목로 337-10 1층,영업시간 매일 14:30 ~ 03:30,02-2642-9298,60,25건
마실,한정식,4.2,서울 양천구 목동동로 55 신정동밀레니엄프라자 6층,월~금 11:30 ~ 22:00 · 점심시간 월~금 15:00 ~ 17:00,02-2649-1800,18,9건
더브라운 목동점,디저트카페,3.1,서울 양천구 오목로 354 목동센트럴푸르지오 101동 101호,매일 08:00 ~ 22:00,02-2642-2646,58,15건
황금오리농장,오리,3.8,서울 양천구 국회대로 176,매일 11:30 ~ 22:00,02-2699-6974,44,14건
봉스시,초밥/롤,3.3,서울 양천구 은행정로7길 25,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-2604-3353,37,22건
족발신선생 목동점,족발/보쌈,4.5,서울 양천구 신정중앙로 98 1층,영업시간 매일 16:30 ~ 03:00,02-2692-9225,129,4건
화로상회 목동1호점,육류/고기,4.7,서울 양천구 목동동로8길 9,화~일 12:00 ~ 23:30,02-2062-2292,74,3건
파스타농장,이탈리안,4.0,서울 양천구 은행정로4길 22,매일 11:00 ~ 20:30,02-2649-8383,74,5건
만복순대국,순대,4.6,서울 양천구 목동로 219 1층,매일 00:00 ~ 24:00,02-2696-0304,28,41건
한우나주곰탕,곰탕,3.2,서울 양천구 오목로 313-2,월~토 08:30 ~ 22:30,02-2645-3999,86,16건
착한낙지 목동점,해물/생선,3.4,서울 양천구 국회대로 289,,,48,19건
해몽,삼겹살,3.3,서울 양천구 오목로 339 1층,매일 11:00 ~ 01:00,02-2648-5492,32,16건
포코아,양식,4.0,서울 양천구 목동중앙북로24길 23-13,화~일 10:00 ~ 22:00,0507-1375-1833,143,26건
양평신내해장국 본점,해장국,3.7,서울 양천구 공항대로 646,,02-2653-3456,5,21건
냅다청양집 목동직영점,육류/고기,4.7,서울 양천구 신정중앙로 85,영업시간 매일 16:00 ~ 04:00,02-6465-1984,180,3건
정진식당,육류/고기,4.4,서울 양천구 신정중앙로 94 1층,매일 11:00 ~ 01:00,02-2602-3378,83,17건
한마음정육식당 목동직영점,육류/고기,4.8,서울 양천구 신목로 48,매일 11:30 ~ 23:30,02-6014-2929,101,5건
