식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
서지스테이크,스테이크/립,3.4,서울 용산구 한강대로84길 11-5,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 13:30 ~ 16:30,02-797-8491,46,20건
몽탄,갈비,3.5,서울 용산구 백범로99길 50,매일 12:00 ~ 21:00,02-794-8592,1/313,192건
다운타우너 한남,햄버거,4.1,서울 용산구 대사관로5길 12 1층,매일 11:30 ~ 21:30,0507-1405-3696,681,211건
한남동한방통닭,치킨,4.0,서울 용산구 대사관로34길 38,영업시간 월~토 17:00 ~ 02:00,02-797-8677,299,127건
올드페리도넛,도넛,3.6,서울 용산구 한남대로27길 66 2층,화요일,02-6015-2022,772,156건
보니스피자펍,피자,3.8,서울 용산구 신흥로3길 2,영업시간 화~금 12:30 ~ 22:00,02-792-0303,492,208건
파이프그라운드,피자,4.0,서울 용산구 한남대로27길 66 지하 1층,월~목 11:30 ~ 21:00,02-793-1500,779,95건
맥심플랜트,카페,4.3,서울 용산구 이태원로 250,매일 10:00 ~ 22:00,070-4287-8557,337,135건
로우앤슬로우,육류/고기,2.8,서울 용산구 보광로 126 2층,영업시간 매일 13:00 ~ 21:00,02-793-2268,344,79건
더로열푸드앤드링크,카페,3.0,서울 용산구 신흥로20길 37 1층,매일 10:00 ~ 21:00,070-7774-4168,234,59건
아이오유,이탈리안,2.9,서울 용산구 원효로1길 16,매일 11:00 ~ 23:00 · 브레이크타임 매일 14:30 ~ 17:00,02-3275-1151,246,38건
패션5 한남점,제과/베이커리,3.1,서울 용산구 이태원로 272 1층,매일 07:30 ~ 22:00,02-2071-9515,199,139건
더백푸드트럭,햄버거,2.7,서울 용산구 신흥로20길 45 1층,매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:30,02-777-3338,357,87건
오스테리아오르조 한남,스테이크/립,4.1,서울 용산구 한남대로20길 47 2층,매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,02-322-0801,401,101건
사유,갤러리카페,3.1,서울 용산구 이태원로54길 5,매일 11:00 ~ 22:00,02-2289-9050,440,87건
남영돈,육류/고기,4.2,서울 용산구 한강대로80길 17 1층,영업시간 월~금 16:00 ~ 22:00,,427,90건
오근내닭갈비,닭요리,3.4,서울 용산구 이촌로29길 15,매일 11:30 ~ 22:30 · 브레이크타임 매일 15:00 ~ 16:30,02-797-0131,223,106건
구복만두,분식,3.7,서울 용산구 두텁바위로 7 1층,매일 11:00 ~ 20:00,02-797-8656,423,186건
한입소반,분식,3.4,서울 용산구 청파로45길 3 1층,매일 07:00 ~ 19:00,02-701-4417,363,134건
바토스 이태원점,멕시칸/브라질,3.6,서울 용산구 이태원로15길 1 1/2층,월/화/수/목/일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-797-8226,267,176건
오리올,카페,3.4,서울 용산구 신흥로20길 43,월/화요일,02-6406-5252,159,54건
효뜨,베트남음식,3.5,서울 용산구 한강대로40가길 6 1/2층,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:30,02-794-0526,395,118건
명동교자 이태원점,국수,3.6,서울 용산구 녹사평대로 136,매일 10:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:00,02-790-7300,130,41건
더베이커스테이블,제과/베이커리,2.9,서울 용산구 녹사평대로 244-1 1층,매일 08:00 ~ 21:00,070-7717-3501,323,120건
빠레뜨한남,이탈리안,2.9,서울 용산구 이태원로54길 16-7 1층,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:30 ~ 17:00,070-8873-5433,436,80건
부자피자 1호점,피자,3.7,서울 용산구 이태원로55가길 28,매일 11:30 ~ 22:30 · 브레이크타임 월~금 15:30 ~ 17:30,02-794-9474,162,123건
오복함흥냉면,냉면,3.3,서울 용산구 한강대로84길 4,화요일,02-703-6357,369,153건
잠수교집 2호점,삼겹살,3.6,서울 용산구 신흥로 37,영업시간 화~금 18:00 ~ 01:00,02-792-0434,189,23건
24시뼈다귀감자탕,감자탕,4.1,서울 용산구 대사관로 73 1층,매일 00:00 ~ 24:00,02-790-8309,142,44건
무니,카페,3.7,서울 용산구 신흥로20길 37 1층,매일 11:00 ~ 23:00,02-565-1592,224,50건
오츠커피,카페,4.5,서울 용산구 원효로89길 13-12,월~금 11:00 ~ 20:00,,199,82건
챔프커피 2작업실,커피전문점,3.6,서울 용산구 녹사평대로26가길 24 1층,매일 09:00 ~ 21:00,02-790-4516,187,74건
미니마이즈,제과/베이커리,3.4,서울 용산구 독서당로 65-1 지하 1층,매일 11:00 ~ 22:00,070-8806-1234,293,35건
강가네맷돌빈대떡,호프/요리주점,3.4,서울 용산구 대사관로24길 27,영업시간 월~토 16:00 ~ 06:00,02-792-1967,147,32건
부엉이돈가스 남산서울타워점,돈까스/우동,3.6,서울 용산구 남산공원길 105 2층 202B호,월~금 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,02-318-0518,32,47건
나리의집,한식,3.2,서울 용산구 이태원로 245,영업시간 월~토 14:00 ~ 05:00,02-793-4860,223,59건
쥬에,퓨전중식,3.7,서울 용산구 독서당로 124-7,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 18:00,02-798-9700,117,25건
오아시스 한남점,디저트카페,3.0,서울 용산구 이태원로45길 30 1/2층,월~토 09:00 ~ 20:00,02-790-8906,259,33건
