식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
1인1잔,카페,3.6,서울 은평구 연서로 534 1/2층,화~일 10:00 ~ 21:00,02-355-1111,522,66건
북한산제빵소,제과/베이커리,2.3,서울 은평구 연서로48길 52,월~금 10:00 ~ 18:00,02-352-3548,440,66건
제주도그릴 특상본점,육류/고기,3.7,서울 은평구 응암로 373 역촌빌딩 1층,영업시간 매일 16:00 ~ 00:00,0507-1403-9742,83,26건
중화원,중화요리,3.4,서울 은평구 통일로66길 10-16,매일 11:00 ~ 20:00,02-353-3379,84,58건
백년가게 만포면옥 본점,냉면,3.0,서울 은평구 연서로 171 1/2층,매일 11:00 ~ 21:30 · 브레이크타임 월~금 16:00 ~ 17:00,02-389-3917,101,49건
원조두꺼비집불오징어,해물/생선,4.2,서울 은평구 연서로28길 5 1/ 2층,영업시간 매일 12:00 ~ 24:00,02-355-3130,160,49건
횟집울릉도,일식,3.3,서울 은평구 서오릉로 29-4 1층,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 14:30 ~ 17:00,02-356-8898,67,35건
홍제동30년 우동국수,국수,3.8,서울 은평구 서오릉로 242,영업시간 매일 18:00 ~ 02:00,02-388-5929,71,17건
갈현동할머니떡볶이,떡볶이,3.3,서울 은평구 통일로87길 8-1,화~일 09:30 ~ 19:30,02-354-8399,51,60건
벙구갈비,갈비,4.2,서울 은평구 응암로 269 1층,매일 11:00 ~ 23:00,02-352-5092,38,19건
스시쇼부 1호점,초밥/롤,3.4,서울 은평구 은평로13길 11-9 1/2층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 18:00,02-385-0045,62,37건
롱브레드 은평한옥마을점,테마카페,2.8,서울 은평구 연서로 530 1/ 2층,월~토 10:00 ~ 21:00,02-352-7290,154,38건
옥탑방,삼겹살,4.5,서울 은평구 서오릉로 115 1층,영업시간 매일 15:00 ~ 23:00,0507-1331-6400,263,15건
가이오국수 본점,국수,3.7,서울 은평구 연서로 132 1층,월~토 11:30 ~ 21:00,02-388-0621,25,23건
역촌왕돈까스 역촌본점,돈까스/우동,2.5,서울 은평구 진흥로 121-1,월~토 10:30 ~ 21:30,02-355-2777,96,44건
가야밀냉면해물칼국수,한식,3.9,서울 은평구 대서문길 36 북한산성상가 A동 106호,매일 11:00 ~ 20:00,02-356-5546,52,17건
우주미,갈비,3.3,서울 은평구 은평로 185,화~토 10:00 ~ 23:00,02-354-7788,68,25건
근린커피,카페,3.5,서울 은평구 응암로21길 23,매일 11:00 ~ 22:00,070-7715-5300,121,28건
카페뤽상부르,카페,4.0,서울 은평구 연서로25길 6-11 2층,영업시간 월~금 13:00 ~ 24:00,02-385-2846,86,22건
옥문,중화요리,3.6,서울 은평구 통일로87길 21 2층,매일 10:00 ~ 21:00,02-387-8800,32,23건
마마수제만두,중식,3.6,서울 은평구 증산로 397 에벤에셀빌딩 1층,매일 11:00 ~ 23:00,02-375-1688,68,50건
휴식,이탈리안,3.9,서울 은평구 연서로26길 14 2층,화요일,02-386-0437,89,25건
구석집,호프/요리주점,3.8,서울 은평구 통일로83길 17-5 1층,영업시간 매일 17:00 ~ 02:00,02-353-5157,126,36건
플로,카페,4.6,서울 은평구 서오릉로 20-1 1층,월/화/목/금/토/일 11:00 ~ 22:00,02-355-4862,32,35건
이가네가마솥설렁탕,설렁탕,3.5,서울 은평구 진흥로 130,매일 10:00 ~ 22:00,02-387-2246,48,15건
아로이타이,태국음식,4.2,서울 은평구 은평로 108 메트로럭스 2층 201호,,02-359-6409,49,30건
파술타,호프/요리주점,3.1,서울 은평구 통일로 883 1층,영업시간 월~토 17:00 ~ 02:00,010-5899-8668,162,22건
산들애 건강밥상,한식,4.0,서울 은평구 대서문길 43-16,월/화요일,02-385-9693,41,22건
스시온도,초밥/롤,4.2,서울 은평구 불광천길 536,,010-4014-7172,91,30건
성일식당,갈비,4.6,서울 은평구 갈현로 306-8,화~일 11:00 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,,147,28건
플롭,피자,3.8,서울 은평구 불광천길 338,영업시간 매일 12:00 ~ 24:00,02-303-1195,84,46건
1인1상,퓨전한식,2.7,서울 은평구 연서로 534,화~일 11:30 ~ 21:00 · 브레이크타임 화~일 15:00 ~ 17:30,02-357-1111,93,25건
풍천장어 응암점,장어,4.9,서울 은평구 응암로 340-1 대진빌딩 1층,매일 11:00 ~ 22:00,02-351-9989,46,22건
유라쿠,초밥/롤,2.8,서울 은평구 연서로 214,영업시간 화~일 12:00 ~ 22:30 · 브레이크타임 화~일 15:00 ~ 17:00,02-384-9696,102,60건
옥토끼제면소,일본식라면,4.4,서울 은평구 불광천길 536,화~일 11:00 ~ 22:30 · 브레이크타임 화~일 15:00 ~ 17:00,,76,47건
충무칼국수,국수,3.7,서울 은평구 은평로 193-1,월~금 11:00 ~ 22:30,02-3142-3198,43,18건
불광동황소곱창구이,곱창/막창,3.2,서울 은평구 진흥로 141,영업시간 월~토 12:00 ~ 01:00,02-355-9293,54,22건
중화원,중화요리,3.1,서울 은평구 연서로26길 9 1층,화~일 11:00 ~ 20:30,02-388-3379,24,20건
서부감자국,감자탕,2.8,서울 은평구 서오릉로 8,매일 00:00 ~ 24:00,02-356-4555,44,22건
원조양평해장국 직영점,해장국,3.2,서울 은평구 연서로 203,매일 00:00 ~ 24:00,02-354-5058,35,28건
보들이족발,족발/보쌈,3.0,서울 은평구 연서로 230-10,매일 10:30 ~ 01:00,0504-1400-4667,99,31건
심야식당세이지,일식,3.8,서울 은평구 연서로27길 13-6,영업시간 화~일 18:00 ~ 02:00,,104,41건
빅토리아,육류/고기,3.3,서울 은평구 응암로21길 11 1층,월~토 11:30 ~ 24:00 · 브레이크타임 월~토 14:30 ~ 17:30,02-309-7870,57,11건
YM커피프로젝트,카페,4.3,서울 은평구 연서로29길 21-8,화요일,070-7767-0829,32,37건
휴가,카페,3.7,서울 은평구 진관2로 19 휴먼프라자 3층,매일 10:00 ~ 22:00,02-352-7400,25,36건
만석장 본점,쌈밥,3.3,서울 은평구 대서문길 43-10,매일 10:30 ~ 20:00 · 브레이크타임 매일 15:00 ~ 15:30,02-385-2093,14,32건
넷길이콩나물국밥,국밥,4.0,서울 은평구 진흥로 139,매일 00:00 ~ 24:00,02-6406-7808,107,21건
태조대림감자국,감자탕,1.8,서울 은평구 응암로 172,매일 00:00 ~ 24:00,02-306-6535,34,27건
넙딱집 본점,육류/고기,4.0,서울 은평구 진흥로 124,영업시간 월~토 17:00 ~ 00:30,02-388-9728,81,15건
브릭하우스76,호프/요리주점,4.9,서울 은평구 연서로 40,영업시간 화~토 17:00 ~ 02:00,,61,29건
접시고기,육류/고기,4.0,서울 은평구 연서로29길 22 1층,,,166,13건
진김밥,분식,3.1,서울 은평구 연서로 130-1,월~금 06:30 ~ 19:00 · 점심시간 매일 13:30 ~ 14:00,02-354-7776,50,34건
소담촌 구산직영점,샤브샤브,3.5,서울 은평구 서오릉로 145 상원빌딩 3층,매일 11:00 ~ 22:00,02-356-8668,22,15건
보들이쭈꾸미,해물/생선,3.9,서울 은평구 은평로 46,매일 11:00 ~ 24:00,02-376-3588,51,25건
원조은평감자국,감자탕,4.0,서울 은평구 응암로 287,매일 10:00 ~ 24:00,02-389-4458,13,19건
차이몬스터,중화요리,4.1,서울 은평구 불광천길 334 1층,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-305-7843,116,23건
장충당 역촌점,족발/보쌈,4.0,서울 은평구 진흥로 33,영업시간 매일 15:00 ~ 24:00,02-389-7771,200,21건
봉희설렁탕 본점,설렁탕,2.2,서울 은평구 증산로 413,매일 00:00 ~ 24:00,02-302-9754,43,34건
아웃백스테이크하우스 구파발점,패밀리레스토랑,3.9,서울 은평구 통일로 1080 삼전솔하임 103동 2층,월~금 11:30 ~ 21:30,02-354-9791,89,16건
송도회집,회,2.6,서울 은평구 응암로 324,,02-384-7232,19,9건
골목집갈비살,갈비,4.3,서울 은평구 연서로27길 12-9 1층,화요일,02-6398-4586,75,15건
떡산,떡볶이,3.3,서울 은평구 연서로 247-1 1층,화~일 10:30 ~ 21:00,02-6082-4321,46,58건
횟집산이네,해물/생선,3.8,서울 은평구 통일로66길 4-1,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:00,02-384-5466,42,25건
코스모스,떡볶이,2.4,서울 은평구 연서로15길 2,매일 10:00 ~ 21:30,02-358-6623,55,15건
쿠우쿠우 연신내점,해산물뷔페,3.9,서울 은평구 통일로 856 메트로타워 6층,매일 11:00 ~ 22:00,02-388-3690,162,39건
셀프회수산시장 포장전문점 응암점,회,4.6,서울 은평구 응암로 319 1층 102호,영업시간 매일 13:00 ~ 01:00,02-831-0242,25,10건
카페볼가심,카페,3.4,서울 은평구 진관길 10,매일 10:00 ~ 22:00,02-356-3631,89,21건
메밀잔치,국수,4.4,서울 은평구 대서문길 7 1층,월/화/목/금/토/일 11:00 ~ 18:00,02-357-8333,720,30건
싱싱연신내횟집,회,3.2,서울 은평구 연서로27길 17,매일 11:30 ~ 02:00,02-353-3857,47,11건
효면옥,냉면,3.2,서울 은평구 증산로 429,매일 11:00 ~ 22:00,02-303-7300,10,19건
부엉이산장,한식,4.7,서울 은평구 연서로25길 6-18 1층,매일 11:30 ~ 22:20,010-9044-9901,74,28건
한판승부,일본식주점,4.7,서울 은평구 통일로83길 18 1층,,010-2695-0637,20,6건
목노집,족발/보쌈,3.7,서울 은평구 연서로28길 10,,02-355-1652,35,16건
823m,디저트카페,3.3,서울 은평구 연서로29길 21-9 1층,영업시간 매일 12:00 ~ 24:00,02-2088-1823,144,12건
선과점,카페,4.3,서울 은평구 갈현로7가길 11 1층,,,87,9건
벙구갈비,갈비,4.4,서울 은평구 은평로 32,매일 11:30 ~ 23:30,02-306-5092,17,14건
섬진강참숯민물장어,장어,3.5,서울 은평구 진흥로 105-4 1층,둘째 화요일,02-356-2516,39,10건
스시이마,초밥/롤,3.9,서울 은평구 역말로 49-1 1층,영업시간 월~토 12:00 ~ 22:00 · 브레이크타임 월~토 14:30 ~ 18:00,070-7807-5295,36,20건
만나만두,분식,4.5,서울 은평구 연서로 292,,02-387-2001,17,13건
제주은희네해장국 증산점,해장국,4.4,서울 은평구 증산로 335,화~일 07:00 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-373-0222,15,15건
오늘은보글부대,찌개/전골,3.9,서울 은평구 불광천길 430 1층,화~일 11:30 ~ 22:00 · 브레이크타임 화~금 15:00 ~ 17:00,02-376-7907,96,19건
삼오옛날순대국,순대,3.1,서울 은평구 불광로1길 2,매일 05:30 ~ 23:00,02-387-2605,44,35건
뚜띠쿠치나 응암점,이탈리안,2.6,서울 은평구 증산로 465,매일 11:00 ~ 22:00,02-302-5676,48,15건
대로집 본점,삼겹살,2.9,서울 은평구 통일로 738-1,매일 10:00 ~ 02:00,02-356-9585,185,12건
수정불막창 연신내점,곱창/막창,3.5,서울 은평구 연서로29길 11-9,영업시간 월~토 16:00 ~ 24:00,02-382-1482,55,16건
1994양과점,디저트카페,3.8,서울 은평구 연서로26길 9-5 도원빌딩 1층 101호,영업시간 화~금 12:30 ~ 19:30,,52,13건
송추가마골 서울은평점,갈비,1.7,서울 은평구 북한산로 276,매일 11:00 ~ 22:00,02-371-0022,49,40건
이름없는파스타 연신내점,이탈리안,3.9,서울 은평구 연서로29길 30-3 1층,매일 11:30 ~ 20:30,070-8808-9171,179,22건
솔밭뽈살하얀살전문,육류/고기,4.6,서울 은평구 갈현로 62 1층,영업시간 화~일 16:30 ~ 01:00,02-388-5937,19,11건
다온상회,육류/고기,4.9,서울 은평구 통일로83길 14,영업시간 매일 16:00 ~ 24:00,,44,8건
신간짬뽕,중화요리,4.2,서울 은평구 통일로85길 7-1 2층,월/화/목/금/토/일 11:00 ~ 21:00 · 브레이크타임 월/화/목/금 15:00 ~ 16:30,02-352-6767,6,18건
화로상회 응암점,육류/고기,4.6,서울 은평구 갈현로 39 1층,영업시간 화~일 12:00 ~ 23:00,02-356-8596,34,13건
지원가마솥해장국,해장국,3.2,서울 은평구 통일로66길 4-7,화요일,02-387-6080,144,13건
양촌리,육류/고기,3.0,서울 은평구 은평로 141,매일 00:00 ~ 24:00,02-3157-8592,22,12건
청솔집,한식,4.3,서울 은평구 연서로54길 67,,02-381-3006,10,10건
스타벅스 은평구청입구점,커피전문점,4.1,서울 은평구 은평로 170 상현빌딩 1층,월~금 07:00 ~ 21:00,1522-3232,11,10건
머슴과마님,닭요리,3.0,서울 은평구 응암로 369-1,매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:30,02-388-3331,35,12건
해례커피,커피전문점,4.5,서울 은평구 통일로83길 19,월~금 11:30 ~ 23:00,,90,22건
원조이화감자국,한식,3.8,서울 은평구 응암로 174-1 1층,월~토 07:00 ~ 24:00,02-307-4723,22,12건
갈현동떡볶이,떡볶이,3.8,서울 은평구 연서로29길 24,월/화/목/금/토 10:30 ~ 22:30,,37,13건
카페아사,카페,3.8,서울 은평구 불광천길 338 2층,영업시간 월~토 12:00 ~ 23:00,070-4950-2577,22,8건
목리향,중화요리,3.8,서울 은평구 서오릉로 122 1층,화~일 10:30 ~ 21:00,02-356-5588,47,21건
213점,카페,4.9,서울 은평구 응암로21가길 27 1층,화요일,02-356-7312,39,29건
