식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
명동교자 본점,국수,3.8,서울 중구 명동10길 29,매일 10:30 ~ 21:30,02-776-5348,1/259,561건
금돼지식당,육류/고기,3.7,서울 중구 다산로 149,영업시간 월~금 12:00 ~ 01:00,0507-1307-8750,710,174건
우래옥 본점,냉면,3.9,서울 중구 창경궁로 62-29,화~일 11:30 ~ 21:30,02-2265-0151,669,433건
목멱산방,한식,3.2,서울 중구 퇴계로20길 71 1층,매일 11:00 ~ 20:30 · 브레이크타임 매일 15:00 ~ 16:30,02-318-4790,423,143건
태극당,제과/베이커리,3.3,서울 중구 동호로24길 7,매일 08:00 ~ 21:00,02-2279-3152,534,150건
정원레스토랑 어반가든,스테이크/립,3.5,서울 중구 정동길 12-15 1층,매일 11:30 ~ 22:00,02-777-2254,284,110건
원조만선호프 노가리체인본점,호프/요리주점,2.0,서울 중구 을지로13길 19 1층,영업시간 매일 12:00 ~ 24:00,02-2274-1040(팩스),857,234건
평양면옥,냉면,3.2,서울 중구 장충단로 207,매일 11:00 ~ 21:30,02-2267-7784,285,163건
디라이프스타일 키친 광화문점,양식,3.6,서울 중구 세종대로 136 파이낸스센터 지하1층 101A호,월~금 11:20 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-6273-0100,382,54건
을지다락,양식,4.0,서울 중구 수표로10길 19 4층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,070-8844-4484,370,115건
원조남산왕돈까스,돈까스/우동,1.7,서울 중구 소파로 107,매일 09:30 ~ 23:00,02-755-3370,292,189건
오장동함흥냉면,냉면,2.7,서울 중구 마른내로 108,매일 11:00 ~ 20:00,02-2267-9500,202,111건
필동면옥,냉면,3.7,서울 중구 서애로 26,월~금 11:00 ~ 21:00,02-2266-2611,323,227건
진작,퓨전일식,3.7,서울 중구 수표로12길 12 1층,월~금 11:00 ~ 21:00,02-2285-4484,458,118건
호랑이,카페,3.4,서울 중구 을지로 157 대림상가 3층 라열 351호,화~토 11:00 ~ 21:00,02-2269-5880,748,165건
오장동흥남집 본점,냉면,3.7,서울 중구 마른내로 114,월/화/목/금/토/일 11:00 ~ 20:30,02-2266-0735,250,132건
유즈라멘 만리동점,일본식라면,4.3,서울 중구 만리재로 217,매일 11:00 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,070-4177-0365,270,158건
하동관 명동본점,곰탕,2.8,서울 중구 명동9길 12,월~토 07:00 ~ 16:00,02-776-5656,161,207건
사랑방칼국수,닭요리,4.0,서울 중구 퇴계로27길 46 1층,월~토 09:00 ~ 22:00,02-2272-2020,425,148건
은주정,한식,3.4,서울 중구 창경궁로8길 32,월~토 11:00 ~ 22:00,02-2265-4669,287,138건
진주회관,국수,3.1,서울 중구 세종대로11길 26,매일 11:00 ~ 22:00,02-753-5388,385,261건
남포면옥,냉면,2.7,서울 중구 을지로3길 24,월~금 11:30 ~ 22:00,02-777-3131,241,150건
을지면옥,냉면,3.7,서울 중구 충무로 72-1,월~토 11:00 ~ 21:00 · 브레이크타임 월~토 15:30 ~ 17:00,,421,237건
마복림떡볶이,떡볶이,2.8,서울 중구 다산로35길 5 1층,월~금 09:00 ~ 24:00,02-2232-8930,389,118건
산수갑산,순대,2.8,서울 중구 을지로20길 24 1층,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-2275-6654,404,176건
커피앤시가렛,카페,3.8,서울 중구 서소문로 116 유원빌딩 17층,월~금 08:30 ~ 21:00,02-777-7557,547,80건
적당,카페,3.8,서울 중구 을지로 29 1층,매일 10:00 ~ 21:30,0507-1312-8928,474,74건
광화문국밥 본점,국밥,3.8,서울 중구 세종대로21길 53 1층,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 17:30,02-738-5688,244,139건
중림장,설렁탕,3.5,서울 중구 청파로 459-1,매일 09:00 ~ 22:00 · 브레이크타임 매일 15:30 ~ 17:00,02-392-7743,134,83건
동원집,감자탕,3.2,서울 중구 을지로11길 22 1~2층,월~토 07:00 ~ 22:00 · 점심시간 월~토 15:30 ~ 16:30,02-2265-1339,302,162건
부민옥,한식,3.7,서울 중구 다동길 24-12,월~금 11:00 ~ 22:00 · 브레이크타임 월~토 14:00 ~ 17:00,02-777-4323,83,75건
덕수궁 리에제와플,카페,3.5,서울 중구 덕수궁길 5 1층,월~금 08:00 ~ 21:30,02-318-5202,498,129건
평래옥,냉면,3.1,서울 중구 마른내로 21-1,매일 11:20 ~ 21:00 · 브레이크타임 매일 15:30 ~ 17:00,02-2267-5892,190,140건
커피한약방,커피전문점,3.8,서울 중구 삼일대로12길 16-6,월~토 11:00 ~ 22:00,070-4148-4242,722,162건
서울신라호텔 더파크뷰,뷔페,3.8,서울 중구 동호로 249 1층,월~금 10:00 ~ 12:00,02-2230-3374,350,72건
더하우스1932,카페,4.2,서울 중구 만리재로35길 7,월~토 10:00 ~ 21:00,02-365-1932,162,41건
호수집 원조닭꼬치,닭요리,3.8,서울 중구 청파로 443,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 14:00 ~ 17:00,02-392-0695,241,113건
안동장,중화요리,3.3,서울 중구 을지로 124,월~금 11:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:00,02-2266-3814,154,94건
루소랩 정동점,카페,4.3,서울 중구 정동길 17 이화정동빌딩,월~금 08:00 ~ 20:00,02-772-9935,133,89건
양미옥 을지로본점,곱창/막창,3.2,서울 중구 충무로 62,매일 11:00 ~ 22:00,02-2275-8838,145,103건
명동교자 분점,국수,3.3,서울 중구 명동10길 8,매일 10:30 ~ 21:30,02-776-3424,242,88건
리사르커피로스터스,커피전문점,4.7,서울 중구 다산로8길 16-7 1층,월~금 10:00 ~ 12:00,070-7677-5538,63,143건
무교동북어국집,해물/생선,4.3,서울 중구 을지로1길 38,월~금 07:00 ~ 20:00,02-777-3891,135,102건
가메골손왕만두 남대문본점,분식,4.1,서울 중구 남대문시장4길 42,월~금 08:00 ~ 20:00,02-755-2569,133,81건
더스팟 패뷸러스,커피전문점,4.0,서울 중구 명동2길 22 1/2층,매일 10:30 ~ 22:00,02-779-1981,542,90건
