식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
용마해장국,해장국,3.8,서울 중랑구 용마공원로5길 8,화~일 10:00 ~ 20:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-2209-5938,72,23건
꿀삼겹 본점,삼겹살,2.9,서울 중랑구 면목로91길 45 1층,매일 12:30 ~ 23:30,02-433-5730,1/167,18건
초가네장어구이,장어,4.6,서울 중랑구 면목로44길 12,영업시간 월~금 15:00 ~ 00:50,02-435-4225,146,20건
소담촌 상봉점,샤브샤브,2.9,서울 중랑구 망우로 328 시네마시티 15층 1501호,매일 11:00 ~ 22:00,02-434-1999,60,17건
울타리곱창,곱창/막창,3.6,서울 중랑구 중랑역로 20,영업시간 매일 13:30 ~ 01:30,02-491-7178,106,28건
쭈꾸미킹 상봉점,해물/생선,3.7,서울 중랑구 송림길 13,매일 11:00 ~ 22:30,02-439-0035,120,20건
최민석마구로 묵동본점,참치회,2.8,서울 중랑구 동일로 939 2층,매일 11:30 ~ 24:00 · 브레이크타임 매일 14:30 ~ 16:30,02-977-0737,50,14건
찜집 본점,해물/생선,4.0,서울 중랑구 면목로 287,월~토 10:00 ~ 24:00,02-494-0044,44,13건
맑은샘,분식,3.9,서울 중랑구 용마산로99길 13,월~토 12:00 ~ 19:00,,64,18건
태능배밭갈비,갈비,2.6,서울 중랑구 동일로143길 30,매일 11:30 ~ 23:00,02-973-9292,27,14건
이주소곱창,곱창/막창,4.2,서울 중랑구 봉우재로33길 34,,02-978-4723,78,25건
파크더블유,카페,2.8,서울 중랑구 양원역로16길 103-111,매일 11:00 ~ 22:00,02-432-5659,66,13건
이학갈비 면목점,갈비,4.2,서울 중랑구 면목로 310 2층,매일 09:30 ~ 22:00,02-437-0170,12,17건
함평국밥,국밥,3.5,서울 중랑구 봉우재로33길 73 1층,월~토 11:30 ~ 22:00,02-2209-3332,79,18건
어글리스토브 상봉점,양식,3.2,서울 중랑구 상봉로 131 듀오트리스 1층,매일 11:00 ~ 21:30,02-433-8459,87,18건
마구로,회,3.0,서울 중랑구 망우로 270 2층,매일 12:00 ~ 22:30 · 브레이크타임 매일 14:30 ~ 16:00,02-492-7100,52,10건
농부보쌈,족발/보쌈,3.5,서울 중랑구 용마산로 389 석주빌딩 지하1층,화~일 11:00 ~ 23:00,02-496-8860,44,21건
쿠우쿠우 상봉점,해산물뷔페,2.9,서울 중랑구 망우로 316 이지펠리스 3층,,02-433-6274,282,44건
아웃백스테이크하우스 상봉점,패밀리레스토랑,4.2,서울 중랑구 망우로 293 삼성CNC프라자 2층,월/화/수/목/일 11:30 ~ 22:30,02-434-8491,144,29건
묵동할머니떡볶이,떡볶이,3.0,서울 중랑구 공릉로12가길 14,화~일 10:30 ~ 21:00,02-979-6082,48,26건
커피스터프,카페,4.2,서울 중랑구 망우로42길 10,화~일 08:00 ~ 22:00,,85,12건
양지촌,갈비,1.1,서울 중랑구 망우로 184,매일 11:00 ~ 22:00,02-438-8668,30,12건
연탄돼지갈비,갈비,3.8,서울 중랑구 봉우재로 159,화요일,,48,17건
동해루,중화요리,3.7,서울 중랑구 면목천로23길 44,화요일,02-2208-5887,29,20건
쪽갈비대통령 본점,갈비,4.0,서울 중랑구 동일로163길 46 1층,,02-979-0316,148,6건
신선한우촌,육류/고기,4.0,서울 중랑구 용마산로 707,매일 11:00 ~ 22:00,02-492-3335,64,8건
