식당이름,메뉴,가격
타쿠미곤,런치,150000
타쿠미곤,디너,260000
알라프리마,런치,88000
알라프리마,디너,178000
미라이,사시미8종 (2인),41000
미라이,마구로치즈아에,19000
미라이,양갈비 스미비 야끼,23000
미라이,노도구로 시오 야끼,35000
미라이,규 스테이크,41000
시라카와,덴푸라 5종모듬,14900
시라카와,방어회와 흑임자 소스,25000
시라카와,소고기조림,18000
시라카와,기린생맥주,8000
시라카와,카스타드푸딩,4000
바위파스타바,파스타 테이스팅 코스,75000
회현식당,생선요리한상 (점심),27000
회현식당,사시미코텐모리 (저녁),38000
회현식당,시메사바 (저녁),25000
회현식당,부리 (저녁),30000
회현식당,아나고노시라야키 (저녁),30000
쿠나,바질부라타,16000
쿠나,가지튀김,12000
쿠나,전복리소토,23000
쿠나,포르치니버섯베이컨크림뇨끼,19000
쿠나,오리가슴살스테이크,30000
맛짱조개,조개찜 (중),48000
맛짱조개,해물모듬,35000
맛짱조개,가리비숙회,25000
맛짱조개,포뜬산오징어,25000
맛짱조개,해물라면,6000
연희미식,오징어튀김,19000
연희미식,바지락볶음,14000
연희미식,새우물만두,7000
연희미식,교자,6000
연희미식,오향장육,20000
팔레드 신,북경오리,130000
팔레드 신,홍콩식 소갈비 구이,78000
팔레드 신,꿀 소스 이베리코 챠슈,60000
팔레드 신,소흥주 칠리 새우,39000
팔레드 신,메추리알 트러플 샤오마이 (3pcs),15000
로바타탄요,야채모듬5종,15000
로바타탄요,닭 토종닭구이,33000
로바타탄요,안심 스테이크,35000
로바타탄요,시사모,15000
로바타탄요,요세나베,27000
마루심,히쯔마부시,36000
마루심,우나동,36000
마루심,장어 한마리 정식,36000
마루심,장어소금구이 (한마리),36000
마루심,회정식,25000
쿠이신보,카라아게,9800
쿠이신보,연어샐러드,14000
쿠이신보,닭꼬치,2900
쿠이신보,연어사시미,9500
가디록,런치 코스,30000
가디록,디너 코스,72000
가디록,돼지 등갈비 튀김,29000
가디록,볼로네제 페투치네,23000
가디록,한우 채끝 스테이크,54000
소이연남마오,소고기국수,9500
소이연남마오,똠양누들,12000
소이연남마오,소이뽀삐아,13000
소이연남마오,쏨땀,12000
소이연남마오,얌운센,12000
샐러드셀러,단호박 수프 (S),4000
샐러드셀러,퀴노아 그레인 보울,13000
샐러드셀러,아보카도 샐러드,12500
샐러드셀러,애플 루꼴라 샌드위치,10000
샐러드셀러,베이컨 칠리카도 샌드위치,11500
나인스게이트 서울 웨스틴조선호텔,9th Gate Dinner,150000
나인스게이트 서울 웨스틴조선호텔,Prix Fixe Lunch,72000
나인스게이트 서울 웨스틴조선호텔,해산물 타워,150000
나인스게이트 서울 웨스틴조선호텔,,블랙 트러플 & 푸아그라 영계구이 치킨 리조토(2인)
나인스게이트 서울 웨스틴조선호텔,와규 안심 스테이크(200g),98000
호반,순대 (중),23000
호반,병어찜 (중),45000
호반,우설,30000
호반,편육,30000
호반,모듬전,25000
패스트리부티크 서울신라호텔,자허토르테,55000
패스트리부티크 서울신라호텔,원형 1단 (3호),85000
패스트리부티크 서울신라호텔,원형 1단 (5호),145000
패스트리부티크 서울신라호텔,프리미엄 카스텔라 (오리지널),30000
패스트리부티크 서울신라호텔,마카롱 (8구),31000
우미노미,카이센동,15000
우미노미,스키야키정식,15000
우미노미,카이센동모듬,30000
우미노미,우니도로,28000
인딕 슬로우,브런치 탈리,12500
인딕 슬로우,탄두리치킨플레터,17500
인딕 슬로우,직장인 점심 커리&라이스,9900
인딕 슬로우,프라운 아보카도 사그,14900
인딕 슬로우,버터치킨마크니,14900
시키카츠,로스카츠,10000
시키카츠,히레카츠,11000
시키카츠,모듬카츠,12000
시키카츠,특로스카츠,12000
서울케밥,치킨케밥,5500
서울케밥,양고기케밥,6900
서울케밥,매콤치즈소고기케밥,7500
서울케밥,치킨도너,6900
서울케밥,양고기도너,7900
오코노미야키식당하나,오코노미야끼 (돼지),9000
오코노미야키식당하나,오코노미야끼 (오징어),9500
오코노미야키식당하나,오코노미야끼 (스페셜),10500
오코노미야키식당하나,야키소바,9000
오코노미야키식당하나,모던야키,10000
BAR CHAM,천안,19000
BAR CHAM,제주 두번쨰,18000
BAR CHAM,안동 두번쨰,19000
작은피자집,더블치즈,13000
작은피자집,트리플치즈,14000
작은피자집,하와이안,14000
작은피자집,페페로니,15000
작은피자집,반&반,16000
우오보파스타바,라비올로,23000
우오보파스타바,뇨끼,24000
우오보파스타바,스파게티,23000
우오보파스타바,톤나렐리,32000
우오보파스타바,파파르델레,26000
