식당이름,구분,평점,주소,영업시간,전화번호,리뷰수
타쿠미곤, 정통 일식 / 일반 일식,4.8,서울시 서초구 반포동 107-45 부림빌딩 2F,12:00 - 22:00,02-595-1935,56
알라프리마, 이탈리안,4.8,서울시 강남구 논현동 42-6 1F,12:00 - 21:00,02-511-2555,67
미라이, 이자카야 / 오뎅 / 꼬치,4.8,서울시 강남구 신사동 557-25 끌레르빌 1F,18:00 - 01:00,02-540-0934,96
시라카와, 이자카야 / 오뎅 / 꼬치,4.8,서울시 강남구 신사동 664-24 1F,17:00 - 23:00,070-4115-4769,56
회현식당, 이자카야 / 오뎅 / 꼬치,4.8,서울시 중구 남창동 205-72,11:30 - 21:00,02-318-8011,25
쿠나, 이탈리안,4.8,서울시 성동구 성수동2가 302-8 105호,화-토: 12:00 - 22:00 일: 12:00 - 20:00,0507-1448-1040,33
맛짱조개, 해산물 요리,4.8,서울시 강남구 논현동 114-14,17:00 - 04:00,02-516-4787,42
팔레드 신, 정통 중식 / 일반 중식,4.7,서울시 중구 회현동1가 210 6F,07:00 - 23:00,02-317-4001,73
로바타탄요, 정통 일식 / 일반 일식,4.7,서울시 강남구 신사동 584-1 109호,17:00 - 22:00,02-6339-9667,76
마루심, 돈부리 / 일본 카레 / 벤토,4.7,서울시 서초구 반포동 54-10 청구빌딩,11:00 - 22:00,02-592-8998,163
쿠이신보, 이자카야 / 오뎅 / 꼬치,4.7,서울시 마포구 합정동 413-16 2F,월-목: 17:30 - 01:00 금-토: 17:00 - 02:00 일: 17:00 - 24:00,02-332-9215,100
가디록, 이탈리안,4.7,서울시 강남구 신사동 650-5 2F,12:00 - 22:00,02-6404-6815,44
소이연남마오, 태국 음식,4.7,서울시 강남구 신사동 665-9,11:30 - 02:00,02-545-5130,62
샐러드셀러, 기타 양식,4.7,서울시 용산구 한남동 684-24,11:00 - 21:00,02-794-0282,104
나인스게이트, 스테이크 / 바베큐,4.7,서울시 중구 소공동 87-1 서울 웨스틴조선호텔 LF,월-금: 07:00 - 22:00 토-일: 10:30 - 22:00,02-317-0366,41
호반, 한정식 / 백반 / 정통 한식,4.7,서울시 종로구 낙원동 85-7,11:30 - 22:00,02-745-6618,55
패스트리부티크, 베이커리,4.7,서울시 중구 장충동2가 202 서울신라호텔 1F,07:00 - 22:00,02-2230-3377,85
인딕 슬로우, 인도 음식,4.7,서울시 강남구 신사동 525-4 1F,11:30 - 22:00,02-511-0139,60
시키카츠, 까스 요리,4.7,서울시 동대문구 회기동 60-147,11:00 - 21:00,02-6081-8753,55
메종조, 프랑스 음식,4.7,서울시 서초구 서초동 1476-10 공아트빌딩 1F,12:00 - 20:00,02-6409-3373,15
BAR CHAM, 칵테일 / 와인,4.7,서울시 종로구 통인동 135-5,16:00 - 22:00,02-6402-4750,28
시칠리, 이탈리안,4.7,서울시 용산구 한남동 739-20,,02-6951-4250,8
작은피자집, 기타 양식,4.7,서울시 동작구 사당동 1029-37,11:30 - 01:00 토-일: 14:00 - 01:00,02-597-1987,44
스시카나에, 회 / 스시,4.6,서울시 강남구 청담동 96-22 노노빌딩 2F,12:00 - 22:00,02-516-3350,78
엘리스리틀이태리, 기타 양식,4.6,서울시 송파구 송파동 8 SANDONG빌딩,11:30 - 22:00,010-6545-1410,201
파씨오네, 프랑스 음식,4.6,서울시 강남구 신사동 646-23,12:00 - 22:30,02-546-7719,116
BISTROT de YOUNTVILLE, 프랑스 음식,4.6,서울시 강남구 청담동 83-6 이안빌딩 1F,11:30 - 22:30,02-541-1550,123
쥬에, 정통 중식 / 일반 중식,4.6,서울시 용산구 한남동 3-1,11:30 - 22:00,02-798-9700,73
산울림1992, 전통 주점 / 포차,4.6,서울시 마포구 창전동 5-138,월-토: 17:00 - 01:30 일: 15:00 - 24:00,02-334-0118,149
오스테리아 오르조, 이탈리안,4.6,서울시 용산구 한남동 31-13 2F,12:00 - 22:00,02-322-0801,149
스시소라, 정통 일식 / 일반 일식,4.6,서울시 종로구 종로1가 24 B116 B-1호,월-금: 11:30 - 22:00 토-일: 17:30 - 22:00,02-733-8400,63
이치에, 이자카야 / 오뎅 / 꼬치,4.6,서울시 강남구 신사동 656-7 2F,18:00 - 24:00,070-4273-4087,145
밴건디 스테이크 하우스, 스테이크 / 바베큐,4.6,서울시 서초구 반포동 94-14,11:30 - 22:00,02-595-6062,110
와라야키 쿠이신보, 이자카야 / 오뎅 / 꼬치,4.6,서울시 강남구 신사동 539 대화빌딩,월-목: 17:30 - 24:00 금-토: 17:30 - 02:00,02-546-9215,107
콴안다오, 베트남 음식,4.6,서울시 강남구 신사동 516-2 1F,11:00 - 22:00,02-512-1651,179
가담, 정통 중식 / 일반 중식,4.6,서울시 강남구 신사동 608-8 옥산빌딩,월-금: 11:00 - 22:00 토-일: 10:30 - 21:30,02-545-5163,118
껠끄쇼즈, 카페 / 디저트,4.6,서울시 강남구 대치동 1023-19,12:30 - 19:30,,121
Osso파스타, 기타 양식,4.6,서울시 종로구 동숭동 129-130,12:20 - 19:50,010-2817-9935,74
더파크뷰, 뷔페,4.6,서울시 중구 장충동2가 202 서울신라호텔 1F,월-금: 12:00 - 21:30 토-일: 11:30 - 21:30,02-2230-3374,149
스시키, 회 / 스시,4.6,서울시 강남구 역삼동 683-2 운경빌딩 1F,12:00 - 22:00,02-539-2008,39
당도, 카페 / 디저트,4.6,서울시 마포구 망원동 414-16,12:30 - 20:00,070-8690-1088,215
카와카츠, 까스 요리,4.6,서울시 마포구 서교동 465-1 1F 102호,11:30 - 21:00,070-8801-2053,145
스시 나미키, 회 / 스시,4.6,서울시 강남구 논현동 241-1 강남파라곤 S동 1F 103호,12:00 -21:50,02-6368-7953,37
농민백암왕순대, 탕 / 찌개 / 전골,4.6,서울시 강남구 역삼동 830-9,월-금: 11:10 - 21:00 토: 11:10 - 15:30,02-501-2772,221
아리아께, 정통 일식 / 일반 일식,4.6,서울시 중구 장충동2가 202 서울신라호텔 2F,12:00 - 21:30,02-2230-3356,43
야상해, 딤섬 / 만두,4.6,서울시 용산구 이태원동 119-16,12:00 - 22:00,02-749-8666,119
야키토리묵, 이자카야 / 오뎅 / 꼬치,4.6,서울시 마포구 연남동 223-102 1F,19:00 - 01:00,070-8835-3433,38
보트르메종, 프랑스 음식,4.6,서울시 강남구 청담동 3 청담스퀘어 2F 224호,12:00 - 22:00,02-549-3800,41
비엘티스테이크, 스테이크 / 바베큐,4.6,서울시 종로구 종로6가 289-3 JW메리어트 호텔 동대문 스퀘어 서울 2F,월-금: 12:00 - 22:00 토-일: 11:30 - 22:00,02-2276-3330,61
유즈라멘, 라멘 / 소바 / 우동,4.6,서울시 중구 만리동1가 53-8,11:00 - 21:30,070-4177-0365,126
듁스커피, 카페 / 디저트,4.6,서울시 마포구 당인동 24-11,월-금: 09:00 - 18:00 토-일: 11:00 - 19:00,02-323-2007,123
부촌육회, 고기 요리,4.6,서울시 종로구 종로4가 165-11,09:00 - 23:00,02-2267-1831,138
이치류, 스테이크 / 바베큐,4.6,서울시 마포구 서교동 395-124,월-토: 17:00 - 23:00 일: 17:00 - 22:00,02-3144-1312,96
차만다, 세계음식 기타,4.6,서울시 송파구 송파동 51-2 106호,월-목: 12:00 - 21:30 금-일: 12:00 - 22:00,02-6465-0812,83
야스노야지로, 기타 일식,4.6,서울시 용산구 원효로1가 57-9 1F,17:00 - 22:00,02-777-0778,55
세스크멘슬, 스테이크 / 바베큐,4.6,서울시 성동구 성수동2가 322-20,화-금: 11:00 - 20:00 토-일: 11:00 - 21:00,02-6082-0393,62
허브족발, 고기 요리,4.6,서울시 영등포구 당산동6가 237-38,16:00 - 23:30,02-2633-4339,141
슬로우치즈, 브런치 / 버거 / 샌드위치,4.6,서울시 강남구 청담동 11-1,11:30 - 20:00,02-517-7172,58
카레, 돈부리 / 일본 카레 / 벤토,4.6,서울시 성북구 성북동 161-6,12:00 - 20:00,,63
가온, 한정식 / 백반 / 정통 한식,4.6,서울시 강남구 신사동 651-24 호림아트센터 MF,17:30 - 23:00,02-545-9845,17
호가양꼬치, 기타 중식,4.6,서울시 종로구 수송동 71-1,월-금: 13:00 - 24:00 토-일: 13:00 - 22:30,02-736-7277,63
꺼거, 정통 중식 / 일반 중식,4.6,서울시 용산구 한강로2가 100-3,화-토: 11:30 - 21:00 일: 12:00 - 20:00,,37
와려, 정통 일식 / 일반 일식,4.6,서울시 강남구 대치동 950-11 2F 2호,12:00 - 23:00,02-508-2648,16
로컬릿, 이탈리안,4.6,서울시 성동구 옥수동 201-1 2F,11:00 - 21:00,02-2282-1124,41
광화문국밥, 탕 / 찌개 / 전골,4.6,서울시 중구 정동 1-48,월-금: 11:30 - 22:00 토: 11:30 - 21:00,02-738-5688,103
윤, 프랑스 음식,4.6,서울시 서초구 반포동 68-1 Willus 빌딩 2F,11:30 - 22:30,02-3481-5007,35
오향가, 정통 중식 / 일반 중식,4.6,서울시 송파구 가락동 73-2,11:30 - 22:00,02-401-6999,87
로향양꼬치, 기타 중식,4.6,서울시 관악구 봉천동 1601-10 푸르빌아파트,12:00 - 02:00,02-885-5918,84
도림, 정통 중식 / 일반 중식,4.6,서울시 중구 소공동 1 롯데호텔서울 본관 37F,11:30 - 22:00,02-317-7101,32
우육면관, 기타 중식,4.6,서울시 종로구 관철동 11-11,11:00 - 20:00,070-4213-5678,74
티크닉, 카페 / 디저트,4.6,서울시 마포구 연남동 250-5,14:00 - 20:00,,41
쎄쎄종, 카페 / 디저트,4.6,서울시 강남구 논현동 99-21 주영빌딩 1F,12:00 - 유동적,,41
콰이어트 크림티, 카페 / 디저트,4.6,서울시 송파구 삼전동 2-4,11:00 - 21:00,02-6402-0228,48
삐아프, 카페 / 디저트,4.6,서울시 강남구 신사동 523-31,12:00 - 19:30,02-545-0317,60
이누식당, 이탈리안,4.6,서울시 서초구 방배동 850-31,11:30 - 22:30,010-9337-8947,42
북천, 까스 요리,4.6,서울시 용산구 한강로2가 153-8,월-금: 11:30 - 20:00 토: 11:30 - 15:00,02-796-2461,96
모짜, 이탈리안,4.6,서울시 성북구 성북동 68-4,11:30 - 22:00,02-742-1020,44
스시작, 회 / 스시,4.6,서울시 송파구 방이동 203,12:00 - 22:00,02-422-2017,15
버거파크, 브런치 / 버거 / 샌드위치,4.6,서울시 종로구 명륜4가 101-2 1F,11:30 - 22:00,02-747-3005,87
오코노미야키식당하나, 철판 요리,4.6,서울시 광진구 화양동 31-4,월-목: 17:00 - 23:00 금-일: 12:00 - 23:00,02-469-8884,54
브라운브레드, 베이커리,4.6,서울시 강남구 도곡동 456-7,11:30 - 18:00,070-8658-1236,66
무학, 고기 요리,4.6,서울시 중구 신당동 472,화-금: 15:00 - 21:50 토-일: 13:00 - 21:50,02-3298-6982,17
러시아케익, 베이커리,4.6,서울시 중구 광희동1가 134,11:00 - 22:00,,42
아티장베이커스, 베이커리,4.6,서울시 용산구 한남동 30-3 1F,08:30 - 21:00,02-749-3426,49
빠사삭, 기타 한식,4.6,서울시 관악구 신림동 1537-13,17:00 - 00:00,02-3285-0709,39
발렁스, 카페 / 디저트,4.6,서울시 성동구 성수동2가 310-16,12:00 - 19:00,010-2510-7228,21
디핀옥수, 이탈리안,4.6,서울시 성동구 옥수동 244-10 B1,,02-2292-4410,11
비파티세리, 카페 / 디저트,4.6,서울시 마포구 공덕동 105-67 1F,10:00 - 22:00,02-702-1220,30
꼼다비뛰드, 베이커리,4.5,서울시 강남구 역삼동 622-2,목: 11:00 - 17:00 토: 11:00 - 17:00,070-4101-8456,124
지아니스나폴리, 이탈리안,4.5,서울시 강남구 역삼동 669-18 B1,11:30 - 22:30,02-566-0501,244
오스테리아샘킴, 이탈리안,4.5,서울시 마포구 합정동 386-37,11:30 - 22:00,02-324-3338,164
톡톡, 이탈리안,4.5,서울시 강남구 청담동 69-5 리유빌딩 3F,12:00 - 22:00,02-542-3030,137
진미평양냉면, 국수 / 면 요리,4.5,서울시 강남구 논현동 115-10,11:00 - 21:30,02-515-3469,262
진만두, 딤섬 / 만두,4.5,서울시 마포구 서교동 327-22,12:00 - 22:00 ,02-338-1117,207
다로베 (휴업중), 이탈리안,4.5,서울시 성동구 성수동1가 668-3,12:00 - 22:00  ,02-499-3666,230
브라이리퍼블릭, 세계음식 기타,4.5,서울시 용산구 이태원동 63-4,월: 17:00 - 23:00 화-일: 12:00 - 23:00,070-8879-1967,285
소금집델리 망원, 퓨전 양식,4.5,서울시 마포구 망원동 57-38 2F,11:00 - 21:50,02-336-2617,202
중앙해장, 탕 / 찌개 / 전골,4.5,서울시 강남구 대치동 996-16 육인빌딩,월: 10:30 - 00:00 화-토: 00:00 - 24:00 일: 00:00 - 22:00,02-558-7905,254
호머, 기타 양식,4.5,서울시 용산구 한남동 683-108 2F,월-금: 17:00 - 24:00 토-일: 13:00 - 24:00,02-793-3825,198
스시선수, 회 / 스시,4.5,서울시 강남구 신사동 651-16,12:00 - 22:00,02-514-0812,72
스시려 프리미엄, 회 / 스시,4.5,서울시 서초구 서초동 1337-2 아크로텔 206호,12:00 - 22:00,02-525-0900,48
길목, 고기 요리,4.5,서울시 강남구 삼성동 58-6,12:00 - 22:00,02-518-9710,107
서관면옥, 국수 / 면 요리,4.5,서울시 서초구 서초동 1675-5,11:00 - 21:20,02-521-9945,126
갓포아키, 이자카야 / 오뎅 / 꼬치,4.5,서울시 강남구 신사동 651-5 쿠키빌딩,18:00 - 01:00,02-540-8669,115
젠제로, 카페 / 디저트,4.5,서울시 강남구 삼성동 10-18 예우빌딩,11:30 - 22:00,02-543-1261,164
스시고, 회 / 스시,4.5,서울시 서초구 반포동 94-10,12:00 - 22:00,02-595-4700,57
두만강샤브샤브, 기타 중식,4.5,서울시 관악구 봉천동 1663-7,11:30 - 22:00,02-885-7966,125
칸다소바, 라멘 / 소바 / 우동,4.5,서울시 종로구 체부동 28-2,11:30 - 21:30,02-6405-1662,169
소울브레드, 베이커리,4.5,서울시 서초구 우면동 59 동양상가,화-금: 12:00 - 20:00 토: 12:00 - 17:00,070-4235-4748,96
칙피스, 세계음식 기타,4.5,서울시 강남구 신사동 540-18,11:30 - 22:00,02-6956-6780,152
있을재, 이탈리안,4.5,서울시 강남구 신사동 644-7,18:00 - 01:00,02-547-0606,41
첸토페르첸토, 이탈리안,4.5,서울시 마포구 서교동 382-14 1F,12:00 - 21:30,02-334-8622,80
더라이브러리, 카페 / 디저트,4.5,서울시 중구 장충동2가 202 서울신라호텔 1F,08:00 - 01:00,02-2230-3388,124
보타르가, 이탈리안,4.5,서울시 강남구 신사동 644 1F,12:00 - 22:00,010-8558-5378,41
롸카두들내쉬빌핫치킨, 브런치 / 버거 / 샌드위치,4.5,서울시 강남구 신사동 646-8,11:30 - 21:30,02-3447-3456,84
보이어, 기타 양식,4.5,서울시 성동구 성수동1가 16-26 1F,12:00 - 23:00,070-4866-5995,66
스시조, 정통 일식 / 일반 일식,4.5,서울시 중구 소공동 87-1 서울 웨스틴조선호텔 20F,07:00 - 22:00,02-317-0314,38
사루카메, 라멘 / 소바 / 우동,4.5,서울시 마포구 연남동 566-67 1F,11:30 - 15:00,,113
카츠바이콘반, 까스 요리,4.5,서울시 강남구 신사동 647-22,11:30 - 20:30,02-547-3903,94
멘야하나비, 라멘 / 소바 / 우동,4.5,서울시 서초구 잠원동 10-44,월-금: 11:30 - 21:00 토-일: 11:00 - 21:00,070-8847-7788,130
비스트로 루틴, 프랑스 음식,4.5,서울시 용산구 한남동 684-106,12:00 - 22:30,02-790-6686,97
오헨, 베이커리,4.5,서울시 영등포구 여의도동 36 롯데캐슬엠파이어 1F,월-금: 11:30 -19:00 토: 11:00 - 18:00,02-715-6436,80
파네트크루아상팩토리, 베이커리,4.5,서울시 종로구 내수동 71 경희궁의아침 1F,08:00 - 20:00,02-720-5570,97
폴앤폴리나, 베이커리,4.5,서울시 종로구 내수동 74 1F,12:00 - 19:00,02-739-5520,132
오목눈이, 카페 / 디저트,4.5,서울시 관악구 봉천동 1527-1 2F,12:00 - 21:00,02-876-1245,73
미야자키상점, 이자카야 / 오뎅 / 꼬치,4.5,서울시 마포구 동교동 118-18,화-금: 19:00 - 02:00 토-일: 18:30 - 02:00,02-336-5718,49
농민백암순대, 탕 / 찌개 / 전골,4.5,서울시 강남구 대치동 896-33,월-금: 11:10 - 21:00 토: 11:10 - 15:30,02-555-9603,151
스탠바이키친, 브런치 / 버거 / 샌드위치,4.5,서울시 서대문구 대신동 91-15,10:30 - 21:00,02-365-6353,114
다로베, 이탈리안,4.5,서울시 강남구 논현동 94-9 1F,11:30 - 22:00,02-3445-3666,64
페어링룸, 이탈리안,4.5,서울시 강남구 청담동 117-12 1F,11:00 - 24:00,010-3100-8861,61
테이블포포, 이탈리안,4.5,서울시 서초구 반포동 110-1 명빌딩,12:00 - 22:00,02-3478-0717,35
시고로, 퓨전 양식,4.5,서울시 강남구 청담동 21-14 2F,수-금: 17:30 - 24:00 토: 12:00 - 24:00 일:12:00 - 22:00,02-6489-3338,29
올레무스, 카페 / 디저트,4.5,서울시 서대문구 연희동 220-40,12:00 - 19:00,,57
꿉당, 고기 요리,4.5,서울시 서초구 잠원동 12-21 1F,월-토: 16:30 - 23:30 일: 15:00 - 23:30,02-545-9600,51
오죽이네, 닭 / 오리 요리,4.5,서울시 종로구 익선동 156,11:30 - 22:00,02-741-8874,119
혼네, 라멘 / 소바 / 우동,4.5,서울시 마포구 연남동 227-4,12:00 - 21:00,02-332-5247,114
우동가조쿠, 라멘 / 소바 / 우동,4.5,서울시 성동구 행당동 32-22,11:00 - 20:30,02-762-2177,122
정민, 정통 중식 / 일반 중식,4.5,서울시 용산구 한남동 683-53,11:30 - 22:00,02-790-6355,90
뉴욕택시디저트, 카페 / 디저트,4.5,서울시 관악구 봉천동 1664-16 1F,11:00 - 22:00,070-8711-1013,82
르챔버, 칵테일 / 와인,4.5,서울시 강남구 청담동 83-4 B1,일: 19:00 - 02:00 월-목: 19:00 - 03:00 금-토: 19:00 - 04:00,02-6337-2014,78
팔마, 퓨전 양식,4.5,서울시 종로구 필운동 170 1F,17:00 - 24:00,0507-1381-0189,20
춘향미엔, 딤섬 / 만두,4.5,서울시 성동구 행당동 299-1,11:00 - 05:00,02-2281-9031,78
형제상회, 해산물 요리,4.5,서울시 동작구 노량진동 13-8 노량진수산시장 1F 활어-172,10:00 - 24:00,02-816-8227,92
원조할아버지손두부, 한정식 / 백반 / 정통 한식,4.5,서울시 광진구 구의동 26-15,06:00 - 22:00,02-447-6540,59
찰스에이치, 칵테일 / 와인,4.5,서울시 종로구 당주동 30 포시즌스호텔 서울 B1,18:30 - 02:00,02-6388-5500,52
무교동북어국집, 탕 / 찌개 / 전골,4.5,서울시 중구 다동 173,월-금: 07:00 - 20:00  토-일: 07:00 - 15:00,02-777-3891,99
몽크스부처, 기타 양식,4.5,서울시 용산구 한남동 683-126 3-4F,월-목: 18:00 - 22:30 금-일: 11:00 - 24:00,02-790-1108,40
스시코에, 회 / 스시,4.5,서울시 서초구 방배동 866-20,18:00 - 22:00,010-4134-8466,13
하레, 이자카야 / 오뎅 / 꼬치,4.5,서울시 서초구 서초동 1697-11 1F,18:00 - 01:00,02-593-7319,45
오월의김밥, 기타 한식,4.5,서울시 관악구 봉천동 1657-21,화-금: 07:00 - 20:30 토-일: 08:00 - 19:00,02-876-7792,75
라무라, 라멘 / 소바 / 우동,4.5,서울시 마포구 합정동 395-16 1F,11:00 - 20:30,070-8836-8490,62
로우커피스탠드, 카페 / 디저트,4.5,서울시 성동구 성수동1가 8-16 1F,월-금: 08:00 - 18:00 토-일: 10:00 - 18:00,0507-1334-3343,66
렁트멍, 베이커리,4.5,서울시 동작구 상도동 416 아이파크상가 102호,11:00 - 20:00,02-825-0404,62
카카오다다, 카페 / 디저트,4.5,서울시 마포구 망원동 496,11:00 - 20:00,02-3446-7007,41
공푸, 정통 중식 / 일반 중식,4.5,서울시 성북구 삼선동5가 299-10,11:30 - 20:00,070-7566-4683,76
신성각, 정통 중식 / 일반 중식,4.5,서울시 마포구 신공덕동 2-463,11:30 - 16:00,02-716-1210,43
스시키즈나, 회 / 스시,4.5,서울시 종로구 소격동 159,11:30 - 22:00,02-722-0411,12
파이리퍼블릭, 다국적 퓨전,4.5,서울시 마포구 동교동 147-48 B1,12:00 - 22:00,02-6083-1967,38
